sector_id,display_name,sector_type,basket_role,pm_screening_decision,allowed_next_action,registry_status,next_gate,data_gate,pit_universe_gate,business_purity_gate,dividend_gate,fcf_gate,low_vol_gate,external_state_burden,sample_size_risk,knowledge_artifacts_existing,knowledge_artifacts_total,missing_knowledge_artifacts,blockers,notes
bank,Bank,financial_stable_cash_flow,core_candidate,ready_for_basket_shadow_pool,include in basket shadow pool after basket rules and low-vol module exist,formal_strategy_candidate;platform_replication_passed,paper_trading,passed,passed,passed,passed,not_primary_financial_sector,passed,medium,medium,1,1,,Requires forward / paper-trading evidence before acceptance.,Core financial dividend sleeve; bank quality stays sector-specific.
utilities_electricity,Utilities / Electricity,regulated_stable_cash_flow,core_candidate,ready_for_basket_shadow_pool,include in basket shadow pool after basket rules and low-vol module exist,engineering_smoke_test_passed;formal_strategy_candidate;paper_trading_started;utilities_golden_workflow_template,golden_template_productization_in_progress,passed,passed,passed,passed,enhancement_only_after_capex_review,passed,medium,medium,1,1,,Forward evidence is not yet mature. | Quality review remains needed for weak-fundamental paper signals.,Golden template; OCF and demand state dominate raw FCF.
highway_infrastructure,Highway Infrastructure,toll_stable_cash_flow,core_candidate,ready_for_basket_shadow_pool,include in basket shadow pool after basket rules and low-vol module exist,2021_no_signal_gap_repaired;engineering_smoke_test_completed;formal_strategy_candidate;joinquant_platform_smoke_passed;pit_leakage_audit_passed;platform_replication_passed;research_pit_validation_repaired,start_forward_paper_trading_record,passed,passed,passed,passed,diagnostic_not_primary,passed,medium,medium,1,1,,"2021 repair uses 2020 annual-report reviewed operating evidence because JoinQuant HY03160 returns empty before 2021-12-13; this is valid as a repaired PIT universe but must be disclosed in platform replication. | 2026 rolling return remains negative. | Exact traffic volume, toll revenue, concession maturity and toll policy numeric values remain unpromoted. | Not an accepted strategy; forward/paper evidence is absent. | Return tuning is not allowed from platform replication results.",Strong cash-flow sleeve; concession life stays value-trap context.
port_rail_infrastructure,Port / Rail Infrastructure,transport_stable_cash_flow_with_trade_cycle,candidate_after_platform_replication,ready_for_basket_shadow_pool,include in basket shadow pool after pending replication notes are resolved,formal_strategy_candidate;local_daily_smoke_test_completed;overfit_audit_no_blockers_needs_review;platform_replication_ready_for_pm_approval;preferred_port_rail_candidate;research_pit_validation_passed;reviewed_business_source_repair_completed,pm_approve_joinquant_platform_replication_as_attribution_only,passed_with_review_notes,passed,reviewed_source_repair_completed,passed,usable_with_capex_review,passed,medium_high,medium,1,1,,"2021-2026 remains a platform-confirmation window and cannot be used as accepted-strategy evidence. | 516970.XSHG is only an engineering proxy benchmark, not a pure port / rail benchmark. | Not an accepted strategy; platform replication and paper trading evidence are absent. | Original throughput, freight volume, tariff policy and capex commitment data remain unpromoted. | Parameter perturbation contract still needs standardization before final acceptance review.",Eligible for shadow basket but platform attribution remains pending.
gas_water_operators,Gas / Water Operators,regulated_stable_cash_flow,observation_candidate,needs_manual_research_before_formal,Research Agent repairs operating-purity and field evidence,engineering_local_daily_simulation_passed;formal_state_guard_candidate;not_accepted_strategy;not_platform_replication;paper_trading_preparation_started,wait_for_next_clean_forward_rebalance_signal,needs_manual_research,passed,passed_first_layer_reviewed,passed,needs_receivables_and_project_revenue_review,passed,medium,medium,1,1,,2021-07-01 PIT coverage gap has been repaired from 28 to 32 securities using only evidence visible by 2021-07-01. | First clean forward signal is pending the next future rebalance window and trading-calendar confirmation. | Forward / paper trading result evidence is absent. | JoinQuant platform replication has not started. | Repaired local daily simulation passed and paper-trading preparation has started.,Observation sleeve exists; deeper company-level tariff/pass-through data may be costly.
telecom_operators,Telecom Operators,stable_cash_flow_small_sample,observation_candidate,basket_observation_only,track as specialist or concentrated sleeve; do not run broad IC acceptance,basket_diagnostic_only;initial_model_built;not_engineering_handoff;research_pit_validation_completed;research_signal_only;sample_size_blocked;small_sample_observation_sleeve,capped_basket_contribution_diagnostic_only,specialist_data_partial,likely_pass,simple_core3,likely_pass,needs_capex_cycle_review,passed,medium,high,1,1,,"2026 rolling result is negative. | ARPU, subscriber count, capex cycle, EBITDA margin and enterprise-service mix are not joined. | Composite mean selected count is 1.5, so current evidence is concentration-sensitive. | Only three A-share core telecom operators; IC / RankIC evidence is sample-size constrained. | Specialist operating data such as ARPU, subscriber count, capex cycle and enterprise-service mix remains missing. | Telecom requires PM-approved specialist sleeve handling before any Engineering handoff.",Good fit but too few core names for broad IC standards.
insurance,Insurance,financial_specialist,specialist_observation_candidate,basket_observation_only,track as specialist or concentrated sleeve; do not run broad IC acceptance,engineering_smoke_test_completed_needs_review;frozen_formal_strategy_candidate;insurance_domain_workflow_fixed;overfit_audit_no_blockers;paper_trading_started;platform_replication_summary_matched_pending_daily_attribution;research_pit_validation_passed,export_joinquant_daily_transaction_position_log_for_attribution,specialist_data_partial,passed_core5,passed_core5,passed,not_applicable,can_build_from_daily_prices,high,high,1,1,,"2026 partial-year stress remains an unresolved absolute drawdown and slight benchmark underperformance. | Core insurance universe has only five names, so concentration risk requires PM acceptance before acceptance. | Full platform replication still needs daily returns, transactions, positions, and logs for attribution. | No return tuning is allowed from the JoinQuant summary result. | Not an accepted strategy; forward/paper evidence is absent.",Needs EV/NBV/P/EV and specialist state model; not generic FCF.
securities_brokerage,Securities / Brokerage,financial_market_beta,low_priority_watchlist,low_priority_watchlist,keep in broad watchlist; do not spend Quant/Engineering time before higher-priority lanes are exhausted,,,low_priority_watchlist,can_build,likely_pass,mixed,not_applicable,can_build_from_daily_prices,high,medium,0,0,,,More market-beta/capital-market cycle than stable dividend low-vol cash flow.
oil_gas_pipeline_integrated,Oil / Gas Pipeline and Integrated Energy,cycle_aware_cash_flow,cycle_aware_observation_candidate,platform_replication_pending_before_basket,wait for platform exports and attribution; do not add to basket yet,,,platform_replication_pending_exports,passed_proxy_business_exposure_review_pending,needs_annual_report_exposure_review,passed_for_local_simulation,needs_commodity_and_capex_policy_review,passed,high,medium,1,1,,,Potential sleeve but cycle data and platform exports still gate inclusion.
coal,Coal,cyclical,blocked_observation_pool,blocked_by_cycle_data_gate,repair cycle-state and PIT business-exposure data only,archived_not_formal_candidate;blocked_by_manual_research_data;strategy_candidate_failed;workflow_replication_passed,cyclical_sector_data_gate_repair_only,blocked,needs_segment_pit_repair,incomplete,likely_pass,capex_policy_required,can_build_from_daily_prices,high,medium,1,1,,2018 failure was not sufficiently explained ex ante. | Company segment evidence remains incomplete. | Official coal output / inventory PIT history remains incomplete.,Do not model until commodity output/inventory/price state gates pass.
