source_id,source_type,title,authors_or_owner,year,url,role_in_v5a2,evidence_status,notes
academic_value_001,academic_paper,The Cross-Section of Expected Stock Returns,Eugene F. Fama; Kenneth R. French,1992,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1992.tb04398.x,Value factor foundation,reviewed_public_source,"Supports value / book-to-market as theory, not direct A-share proof."
academic_momentum_001,academic_paper,Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency,Narasimhan Jegadeesh; Sheridan Titman,1993,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1993.tb04702.x,Momentum theory foundation,reviewed_public_source,"Intermediate horizon momentum; must test turnover and execution."
academic_reversion_001,academic_paper,Does the Stock Market Overreact?,Werner De Bondt; Richard Thaler,1985,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1985.tb05004.x,Mean reversion / overreaction foundation,reviewed_public_source,"Use only with ex-ante value-trap guards."
academic_value_momentum_001,academic_paper,Value and Momentum Everywhere,Clifford Asness; Tobias Moskowitz; Lasse Pedersen,2013,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2174501,Value and momentum interaction,reviewed_public_source,"Supports diversification logic between value and momentum."
academic_quality_001,academic_paper,The Other Side of Value: The Gross Profitability Premium,Robert Novy-Marx,2013,https://ideas.repec.org/a/eee/jfinec/v108y2013i1p1-28.html,Profitability / quality theory,reviewed_public_source,"Supports profitability as value-adjacent quality signal."
academic_lowvol_001,academic_paper,Betting Against Beta,Andrea Frazzini; Lasse Pedersen,2014,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2049939,Low-beta / low-volatility theory,reviewed_public_source,"Low-volatility must be tested for funding and crowding regimes."
academic_quality_002,academic_paper,Quality Minus Junk,Clifford Asness; Andrea Frazzini; Lasse Pedersen,2019,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2312432,Quality factor definition,reviewed_public_source,"Quality means profitable, safe, growing and well-managed; V5 must map to PIT fields."
academic_lowvol_002,academic_paper,Benchmarks as Limits to Arbitrage: Understanding the Low-Volatility Anomaly,Malcolm Baker; Brendan Bradley; Jeffrey Wurgler,2011,https://rpc.cfainstitute.org/research/financial-analysts-journal/2011/benchmarks-as-limits-to-arbitrage-understanding-the-low-volatility-anomaly,Low-volatility behavioral/institutional explanation,reviewed_public_source,"Useful for PM explanation of low-vol sleeve; still needs A-share validation."
fxbaogao_search_001,research_report_api_search,红利低波 / FCF report search,fxbaogao,2026,https://www.fxbaogao.com/,Research report candidate discovery,screening_only_api_noise,"API keyword search returned many unrelated newest reports; use as candidate discovery only after manual filtering or specific report IDs."
xueqiu_manual_001,public_article_candidate,Dividend low-vol and free-cash-flow investor discussions,Xueqiu authors,various,https://xueqiu.com/,Market narrative / behavioral hypotheses,manual_review_only,"Do not scrape aggressively; social articles cannot be formal evidence."
wechat_reading_manual_001,book_candidate,Value investing / momentum / mean reversion books,WeChat Reading,various,https://weread.qq.com/,Background reading,manual_review_only,"No stable open API; user/manual reading can add notes later."

