seed_id,seed_keyword,stage1_decision,report_id,title,org_name,industry_name,page_num,pub_time,pub_time_str,view_url,paragraph_hit_count,local_relevance_score,matched_title_keywords,matched_preferred_keywords,rejection_reason,stage1_title_filter_passed,next_stage
S01,红利低波,accepted,5198160,指数基金投资+：A股ETF买入超五百亿，推荐红利低波ETF,华鑫证券,,34,1766332800,2025/12/22/,https://www.fxbaogao.com/view?id=5198160,6,14,红利低波,指数;ETF;红利;低波,,yes,fetch_paragraph_or_pdf_then_local_rerank
S01,红利低波,accepted,5027124,国联安中证A500红利低波ETF（560573）：聚焦红利属性，把握低波风格,长江证券,,20,1756310400,2025/08/28/,https://www.fxbaogao.com/view?id=5027124,6,12,红利低波,ETF;红利;低波,,yes,fetch_paragraph_or_pdf_then_local_rerank
S01,红利低波,accepted,5195593,金融工程：AI识图关注通信、红利低波、创业板,广发证券,,22,1765036800,2025/12/07/,https://www.fxbaogao.com/view?id=5195593,2,12,红利低波,金融工程;红利;低波,,yes,fetch_paragraph_or_pdf_then_local_rerank
S01,红利低波,accepted,5337289,金融工程：AI 识图关注银行、金融、公用事业、红利低波 A 股量化择时研究报告,广发证券,金融,22,1774713600,2026/03/29/,https://www.fxbaogao.com/view?id=5337289,2,12,红利低波,金融工程;红利;低波,,yes,fetch_paragraph_or_pdf_then_local_rerank
S01,红利低波,accepted,5544913,金融工程：AI识图关注半导体、能源、红利低波——A股量化择时研究报告,广发证券,,20,1784390400,2026/07/19/,https://www.fxbaogao.com/view?id=5544913,1,12,红利低波,金融工程;红利;低波,,yes,fetch_paragraph_or_pdf_then_local_rerank
S01,红利低波,accepted,5011349,2025年7月新基金发行报告（新基金受理与机构新设篇）：创业板ETF将扩容，首批中证A500红利低波ETF获批,上海证券,,10,1755792000,2025/08/22/,https://www.fxbaogao.com/view?id=5011349,5,11,红利低波,ETF;红利;低波,,yes,fetch_paragraph_or_pdf_then_local_rerank
S01,红利低波,accepted,5193364,“质量红利”占比调升，从红利低波年度调仓初看 2026 年红利配置机会,长江证券,,11,1765987200,2025/12/18/,https://www.fxbaogao.com/view?id=5193364,6,11,红利低波,红利;低波;配置,,yes,fetch_paragraph_or_pdf_then_local_rerank
S01,红利低波,accepted,5209020,布局2026红利低波策略年度解读20251225,未知机构,,6,1766592000,2025/12/25/,https://www.fxbaogao.com/view?id=5209020,6,11,红利低波,策略;红利;低波,,yes,fetch_paragraph_or_pdf_then_local_rerank
S01,红利低波,accepted,5203254,红利低波策略年度解读,-,,10,1766678400,2025/12/26/,https://www.fxbaogao.com/view?id=5203254,6,11,红利低波,策略;红利;低波,,yes,fetch_paragraph_or_pdf_then_local_rerank
S01,红利低波,accepted,5479745,上周红利低波策略获资金流入,华泰证券,,12,1781452800,2026/06/15/,https://www.fxbaogao.com/view?id=5479745,6,11,红利低波,策略;红利;低波,,yes,fetch_paragraph_or_pdf_then_local_rerank
