card_id,source_type,source_title,author_or_institution,publish_date,source_link_or_location,key_claim,evidence_type,confidence_level,applicable_to_v5c,pit_safety,can_be_quant_hypothesis,notes
PRACT_001,blog,Xueqiu dividend profit-taking posts,User-provided authors needed,to_collect,user links needed,"Some practitioners trim dividend assets after sharp gains to protect psychological and portfolio risk.",practitioner_hypothesis,low,maybe,unsafe,maybe,"D-level only; cannot be evidence or parameter source."
PRACT_002,blog,Xueqiu low-vol defensive allocation posts,User-provided authors needed,to_collect,user links needed,"Some practitioners use broad-market weakness or valuation heat as a reason to hold cash.",practitioner_hypothesis,low,maybe,unsafe,maybe,"Needs link/date; qualitative hypothesis only."
PRACT_003,blog,Portfolio rebalancing practitioner notes,User-provided authors needed,to_collect,user links needed,"Rebalancing is often preferred to stock-level profit taking for long-term cash-flow assets.",practitioner_hypothesis,low,yes,unsafe,maybe,"Can inspire sleeve-level trim hypothesis only."
PRACT_004,blog,Dividend crowding practitioner warnings,User-provided authors needed,to_collect,user links needed,"Crowded high-dividend trades may reverse when rates rise or valuation becomes crowded.",practitioner_hypothesis,low,maybe,unsafe,maybe,"Needs institutional or official evidence before modeling."
PRACT_005,blog,投资高股息公司的七个缺点-高股息投资系列2,Xueqiu author 2906684800,unknown,https://xueqiu.com/2906684800/165388447,"Practitioner article warns that high dividend investing is not automatically low risk.",practitioner_hypothesis,low,yes,unsafe,maybe,"D-level only; can inform dividend-trap hypothesis but not evidence."
PRACT_006,blog,回测：再平衡能提升多少收益与回撤？,Xueqiu author 6664428860,about_2025,https://xueqiu.com/6664428860/320754277,"Practitioner backtest discussion frames rebalancing as a way to compare return and drawdown effects.",practitioner_hypothesis,low,yes,unsafe,maybe,"D-level only; cannot provide V5c parameters."
PRACT_007,blog,A股高股息投资策略：穿越周期的稳健之选,Xueqiu author 1461080850,about_2025,https://xueqiu.com/1461080850/339398934,"Practitioner view describes high-dividend strategy as seeking cash-flow income and lower-risk long-term compounding.",practitioner_hypothesis,low,yes,unsafe,maybe,"Needs institutional/official support before evidence use."
PRACT_008,blog,50:50平衡投资策略,Xueqiu author 4991508222,unknown,https://xueqiu.com/4991508222/68906004,"A simple stock/safe-asset balanced allocation is used by practitioners as a discipline framework.",practitioner_hypothesis,low,maybe,unsafe,maybe,"Can inspire cash-management policy discussion only."
PRACT_009,public_pdf,雪球专刊347期：看透高股息红利基金,Xueqiu,2023-12-18,https://xqdoc.imedao.com/18cfc9a7267ec4ef3fe52940.pdf,"The compilation describes dividend strategies as emphasizing profitability, cash flow, low volatility and continuous cash dividends.",practitioner_compilation,medium,yes,needs_check,maybe,"Public PDF opened; still D-level compilation rather than formal strategy evidence."
PRACT_010,public_pdf,雪球专刊347期：看透高股息红利基金,Xueqiu,2023-12-18,https://xqdoc.imedao.com/18cfc9a7267ec4ef3fe52940.pdf,"The compilation says dividend strategies can be useful as a portfolio base and may smooth total portfolio volatility, while bull markets may be harder to keep up with.",practitioner_compilation,medium,yes,needs_check,maybe,"Relevant to V5c defense/cash-drag framing; not a parameter source."
