priority,owner_agent,sector_id,task_type,reason,required_before,input_path,completion_check,blocked_action_until_done
10,Engineering Agent,bank,refresh_pit_panel,latest_panel_trade_date=2026-04-01 target_rows=0,2026-10-08,数据库\processed\low_volatility_factors_v57\bank_v3_repaired\panel_with_low_vol.csv,panel has target trade_date 2026-10-08 with required fields populated,clean_paper_signal_generation
20,Engineering Agent,bank,refresh_real_daily_prices,latest_price_date=2026-05-29 prior_trading_date=2026-10-07,2026-10-07,数据库\processed\bank_v3_joinquant_real_daily_prices.csv,price file includes unadjusted open/close through 2026-10-07,clean_paper_signal_generation
30,Engineering Agent,bank,refresh_cash_dividends,latest_dividend_pay_date=2026-05-29 prior_trading_date=2026-10-07,2026-10-07,数据库\processed\bank_v3_joinquant_cash_dividends.csv,dividend file is refreshed with 20% tax-adjusted net_cash_per_share,clean_paper_signal_generation
40,Engineering Agent,bank,audit_or_repair_stale_fallback,stale_fallback_rows=42,2026-10-08,数据库\processed\low_volatility_factors_v57\bank_v3_repaired\panel_with_low_vol.csv,stale fallback rows are either refreshed from PIT sources or explicitly logged in paper record,clean_paper_signal_generation
50,Engineering Agent,utilities_electricity,refresh_pit_panel,latest_panel_trade_date=2026-04-01 target_rows=0,2026-10-08,数据库\processed\low_volatility_factors_v56\utilities_v51f\panel_with_low_vol.csv,panel has target trade_date 2026-10-08 with required fields populated,clean_paper_signal_generation
60,Engineering Agent,utilities_electricity,refresh_real_daily_prices,latest_price_date=2026-05-29 prior_trading_date=2026-10-07,2026-10-07,数据库\processed\utilities_joinquant_real_daily_prices.csv,price file includes unadjusted open/close through 2026-10-07,clean_paper_signal_generation
70,Engineering Agent,utilities_electricity,refresh_cash_dividends,latest_dividend_pay_date=2026-05-29 prior_trading_date=2026-10-07,2026-10-07,数据库\processed\utilities_joinquant_cash_dividends.csv,dividend file is refreshed with 20% tax-adjusted net_cash_per_share,clean_paper_signal_generation
80,Engineering Agent,highway_infrastructure,refresh_pit_panel,latest_panel_trade_date=2026-04-01 target_rows=0,2026-10-08,数据库\processed\low_volatility_factors_v56\highway_v54h\panel_with_low_vol.csv,panel has target trade_date 2026-10-08 with required fields populated,clean_paper_signal_generation
90,Engineering Agent,highway_infrastructure,refresh_real_daily_prices,latest_price_date=2026-05-29 prior_trading_date=2026-10-07,2026-10-07,数据库\processed\highway_v54h_joinquant_real_daily_prices.csv,price file includes unadjusted open/close through 2026-10-07,clean_paper_signal_generation
100,Engineering Agent,highway_infrastructure,refresh_cash_dividends,latest_dividend_pay_date=2026-05-28 prior_trading_date=2026-10-07,2026-10-07,数据库\processed\highway_v54h_joinquant_cash_dividends.csv,dividend file is refreshed with 20% tax-adjusted net_cash_per_share,clean_paper_signal_generation
110,Engineering Agent,port_rail_infrastructure,refresh_pit_panel,latest_panel_trade_date=2026-04-01 target_rows=0,2026-10-08,数据库\processed\low_volatility_factors_v56\port_rail_v55j\panel_with_low_vol.csv,panel has target trade_date 2026-10-08 with required fields populated,clean_paper_signal_generation
120,Engineering Agent,port_rail_infrastructure,refresh_real_daily_prices,latest_price_date=2026-05-29 prior_trading_date=2026-10-07,2026-10-07,数据库\processed\port_rail_v55c_joinquant_real_daily_prices.csv,price file includes unadjusted open/close through 2026-10-07,clean_paper_signal_generation
130,Engineering Agent,port_rail_infrastructure,refresh_cash_dividends,latest_dividend_pay_date=2026-05-27 prior_trading_date=2026-10-07,2026-10-07,数据库\processed\port_rail_v55c_joinquant_cash_dividends.csv,dividend file is refreshed with 20% tax-adjusted net_cash_per_share,clean_paper_signal_generation
140,Project Manager Agent,all,rerun_paper_input_preflight,confirm all sleeve inputs are fresh before signal construction,2026-10-08,config\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f.json,preflight status is ready_to_construct_clean_paper_signal or PM-approved ready_with_review,clean_paper_signal_generation
150,Project Manager Agent,all,construct_clean_paper_signal_gate,only after preflight passes; do not generate late-recorded signal,2026-10-08,config\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f.json,signal is generated on or before target rebalance date and logged as clean forward evidence,paper_trading_log_update
