canonical_model_id,tier,classification_reason,canonical_or_alias,family,role,daily_series_status,benchmark_type,benchmark_status,validation_independence_status,alpha_beta_ir_computable,promotion_eligibility,primary_benchmark,primary_benchmark_statement,reporting_interpretation_limit,v5n_addendum_path
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f,tier_c_archived_alias_or_superseded,v5n_archived_or_alias_status,alias,v57f_baseline,example_strategy,available,static_proxy_basket,coverage_pass,validation_not_independent_or_overlapping,True,False,local_same_pool_or_embedded_benchmark,primary_benchmark_is_market_exposure_proxy,archived_or_alias_not_active_comparison,v5n_model_performance_reporting\current\model_addenda\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\model_performance_addendum.md
v5c_closeout,tier_c_archived_alias_or_superseded,v5n_archived_or_alias_status,canonical_or_research_unit,governance_or_research_artifact,current_artifact,daily_nav_unavailable,not_available,benchmark_coverage_insufficient,daily_nav_unavailable,False,False,not_available,benchmark_data_unavailable,archived_or_alias_not_active_comparison,v5n_model_performance_reporting\current\model_addenda\v5c_closeout\model_performance_addendum.md
v5c_closeout_defense_addendum,tier_c_archived_alias_or_superseded,v5n_archived_or_alias_status,canonical_or_research_unit,governance_or_research_artifact,current_artifact,daily_nav_unavailable,not_available,benchmark_coverage_insufficient,daily_nav_unavailable,False,False,not_available,benchmark_data_unavailable,archived_or_alias_not_active_comparison,v5n_model_performance_reporting\current\model_addenda\v5c_closeout_defense_addendum\model_performance_addendum.md
v5d_closeout,tier_c_archived_alias_or_superseded,v5n_archived_or_alias_status,canonical_or_research_unit,governance_or_research_artifact,current_artifact,daily_nav_unavailable,not_available,benchmark_coverage_insufficient,daily_nav_unavailable,False,False,not_available,benchmark_data_unavailable,archived_or_alias_not_active_comparison,v5n_model_performance_reporting\current\model_addenda\v5d_closeout\model_performance_addendum.md
v5d_l4_rebalance_neighborhood_order_completion,tier_c_archived_alias_or_superseded,v5n_archived_or_alias_status,canonical_or_research_unit,execution_or_platform,current_artifact,available,static_proxy_basket,coverage_pass,validation_not_independent_or_overlapping,True,False,local_same_pool_or_embedded_benchmark,primary_benchmark_is_market_exposure_proxy,archived_or_alias_not_active_comparison,v5n_model_performance_reporting\current\model_addenda\v5d_l4_rebalance_neighborhood_order_completion\model_performance_addendum.md
v5e_historical_closeout_governance_packet,tier_c_archived_alias_or_superseded,v5n_archived_or_alias_status,canonical_or_research_unit,governance_or_research_artifact,current_artifact,daily_nav_unavailable,not_available,benchmark_coverage_insufficient,daily_nav_unavailable,False,False,not_available,benchmark_data_unavailable,archived_or_alias_not_active_comparison,v5n_model_performance_reporting\current\model_addenda\v5e_historical_closeout_governance_packet\model_performance_addendum.md
v5e_momentum_addenda_closeout_packet,tier_c_archived_alias_or_superseded,v5n_archived_or_alias_status,canonical_or_research_unit,momentum_overlay,current_artifact,daily_nav_unavailable,not_available,benchmark_coverage_insufficient,daily_nav_unavailable,False,False,not_available,benchmark_data_unavailable,archived_or_alias_not_active_comparison,v5n_model_performance_reporting\current\model_addenda\v5e_momentum_addenda_closeout_packet\model_performance_addendum.md
v5e_profit_lock_main_20pct_sell50,tier_c_archived_alias_or_superseded,v5n_archived_or_alias_status,canonical_or_research_unit,governance_or_research_artifact,historical_closeout_forward_only,available,static_proxy_basket,coverage_pass,validation_not_independent_or_overlapping,True,False,local_same_pool_or_embedded_benchmark,primary_benchmark_is_market_exposure_proxy,archived_or_alias_not_active_comparison,v5n_model_performance_reporting\current\model_addenda\v5e_profit_lock_main_20pct_sell50\model_performance_addendum.md
v5f_forward_continuation_v5g01_closeout,tier_c_archived_alias_or_superseded,v5n_archived_or_alias_status,canonical_or_research_unit,governance_or_research_artifact,current_artifact,daily_nav_unavailable,not_available,benchmark_coverage_insufficient,daily_nav_unavailable,False,False,not_available,benchmark_data_unavailable,archived_or_alias_not_active_comparison,v5n_model_performance_reporting\current\model_addenda\v5f_forward_continuation_v5g01_closeout\model_performance_addendum.md
v5f_prejq_local_closeout,tier_c_archived_alias_or_superseded,v5n_archived_or_alias_status,canonical_or_research_unit,governance_or_research_artifact,current_artifact,daily_nav_unavailable,not_available,benchmark_coverage_insufficient,daily_nav_unavailable,False,False,not_available,benchmark_data_unavailable,archived_or_alias_not_active_comparison,v5n_model_performance_reporting\current\model_addenda\v5f_prejq_local_closeout\model_performance_addendum.md
