query_id,mece_question,source_channel,search_keywords,intended_use,source_grade_target,current_status,next_action
Q1_R1,Portfolio defense,fxbaogao,"红利低波 回撤 控制; 低波动 策略 择时 防守; 组合回撤控制 风险预算","Find institutional views on portfolio-level defense for dividend/low-vol strategies.",B,completed_noisy,"API worked from local vault; search results require PDF/manual filtering."
Q1_A1,Portfolio defense,academic,"trend following defensive overlay; volatility targeting equity strategy; tactical asset allocation drawdown control","Build theory cards for trend and volatility overlays.",A,framework_recorded_needs_verification,"Verify paper metadata and links before Quant handoff."
Q2_R1,Profit taking,fxbaogao,"高股息 策略 风险 止盈; 红利策略 拥挤交易; value strategy profit taking","Collect institution views on dividend profit taking and crowding.",B,completed_noisy,"API worked from local vault; broad query noise is high."
Q2_A1,Profit taking,academic,"rebalancing premium; threshold rebalancing; portfolio rebalancing rules","Separate rebalancing from return-chasing stop profit.",A,framework_recorded_needs_verification,"Verify source before using as evidence."
Q3_A1,Rebalancing mechanism,academic,"risk parity rebalancing drawdown; risk budget rebalancing; volatility managed portfolios","Design risk-budget and volatility rebalancing hypothesis space.",A,framework_recorded_needs_verification,"Verify papers and avoid parameter transfer."
Q4_P1,Cash management,local_project,"execution_robustness_v57f; non_rebalance_risk_control_log; cash_drag_high","Use V5 local execution logs as project evidence for cash-drag governance.",A,available_local,"Use as V5-specific context, not general market proof."
Q5_R1,Low-vol dividend special risks,fxbaogao,"股息策略 利率上行 风险; 红利策略 拥挤交易; 高股息陷阱; 分红不可持续","Collect report evidence on dividend/low-vol risk states.",B,completed_noisy,"API worked from local vault; source leads must be PDF-reviewed."
Q5_O1,Low-vol dividend special risks,official,"index methodology dividend low volatility; dividend index rules; fund quarterly report dividend low vol","Use official/index rules for what low-vol/dividend products actually control.",A,not_collected_no_network,"Collect only when external public access is allowed."
Q6_B1,Behavior and discipline,book,"behavioral finance loss aversion disposition effect; investment discipline rebalancing","Build behavior guardrails.",C,framework_recorded_needs_user_books,"User can provide WeChat Reading notes or book excerpts."
"Q6_B2","Behavior and discipline","weread_private_export_route","lbq110/weread-exporter; WeChat Reading notes export; book chapter notes","Define a private user-authorized route to collect book notes for V5c theory cards without importing full copyrighted books.",C,"tool_route_recorded_notes_not_ingested","Use only for user-owned/user-authorized reading notes; raw full-book exports must stay outside knowledge cards; generate paraphrased cards only."
Q6_D1,Behavior and discipline,blog,"雪球 止盈 分红 低波 投资组合 防守","Collect practitioner habits only as hypothesis sources.",D,not_collected_user_links_needed,"User can provide Xueqiu links; do not use as facts."
Q7_L1,Quant conversion,local_project,"v5b_three_track_execution; v5_scope_closeout; execution_robustness_v57f","Map V5c hypotheses to PIT data requirements and blocked actions.",A,available_local,"Use as governance foundation."
Q2_D2,Profit taking / rebalancing,blog_search,"雪球 再平衡 收益 回撤; 50:50 平衡投资策略","Collect practitioner rebalancing examples.",D,collected_snippet_only,"Keep as hypothesis source only; no parameters."
Q5_D2,Dividend special risks,blog_search,"雪球 高股息 缺点; 高股息 投资 风险","Collect practitioner warnings about dividend traps.",D,collected_snippet_only,"Use only to motivate dividend safety hypothesis."
Q5_D3,Dividend low-vol portfolio role,public_pdf,"雪球专刊 看透高股息红利基金","Collect public compilation on dividend fund characteristics.",D,collected_pdf_opened,"Use as practitioner/fund discussion only."
Q3_B2,Rebalancing mechanism,public_secondary,"BigQuant Strategic Rebalancing 再平衡 趋势 敞口","Find source lead on rebalancing drawbacks and trend defense.",B,collected_secondary_opened,"Primary paper needed before formal evidence use."
