hypothesis_id,overlay_type,rule_description,economic_intuition,required_data,pit_requirement,expected_benefit,possible_cost,overfit_risk,implementation_complexity,allowed_next_stage,blocked_actions
V5C_H01,defense,"Portfolio drawdown defense: reduce equity exposure when V57f portfolio drawdown from prior high exceeds a pre-declared threshold family, not a fitted threshold.","Large portfolio drawdowns may indicate regime stress or factor unwind; reducing exposure can limit tail loss.","V57f daily NAV; prior peak NAV; exposure/cash ledger","Only past NAV through decision date; threshold family must be pre-registered.","Lower max drawdown","Cash drag; late exit; whipsaw","high","medium","Quant design spec only","choose_best_threshold_on_2021_2026;modify_V57f_selection"
V5C_H02,defense,"Broad-market trend defense using long-term trend of CSI 300 / CSI Dividend / broad A-share index.","A low-vol dividend basket can still suffer in market-wide stress; broad trend may proxy risk appetite.","Historical index daily close; index calendar; V57f daily NAV","Index data must be available at rebalance or overlay decision date; no future index constituents.","Reduce exposure during broad bear state","May miss sharp rebounds; cash drag","high","medium","PIT data audit then Quant design","minute_timing;parameter_sweep"
V5C_H03,risk_budget,"Portfolio volatility target: scale exposure down when realized portfolio volatility enters a pre-declared high-vol state.","Higher realized volatility can signal larger left-tail risk and lower risk budget.","V57f daily returns; rolling realized volatility; cash ledger","Rolling window uses only prior returns; windows pre-registered.","Lower volatility and drawdown","Frequent trading; lower upside capture","high","medium","PIT data audit then Quant design","optimize_window_and_target_on_history"
V5C_H04,rebalancing,"Sleeve overweight peak trimming: when a sleeve drifts materially above target due to gains, rebalance back to target sleeve weight.","Rebalancing realizes sleeve-level mean reversion while preserving long-term cash-flow assets.","Sleeve weights; sleeve NAVs; target sleeve weights; transaction costs","Only current holdings and prior close values; drift bands pre-registered.","Control concentration; harvest rebalancing premium","May trim winners too early; turnover","medium","low","Quant design spec","stock_level_profit_taking;change_core_weights"
V5C_H05,defense,"Extreme market protection state library: use 2022-03, 2024-01 and 2026 weak periods only to define candidate PIT risk-state variables, not parameters.","Known stress cases reveal what data would have been visible ex ante.","V57f daily returns; broad index returns; volatility; breadth; rates; valuation","All stress indicators must have visible dates before the stress response date.","Better variable design","Narrative overfit","high","low","Research variable design","fit_threshold_to_stress_periods"
V5C_H06,risk_budget,"Dividend safety defense: lower sleeve risk budget when disclosed payout, OCF, earnings quality or dividend continuity deteriorates.","Dividend/FCF strategies can suffer when yield reflects distress rather than sustainable payout.","PIT dividends; OCF; earnings; payout ratio; announcement dates","Financial data must use original announcement and visible dates.","Avoid dividend traps","Slow updates; accounting noise","medium","high","PIT source contract","use_unannounced_financials;single_stock_stop_loss"
V5C_H07,profit_taking,"Valuation heat peak trimming: restrict new buys or rebalance to target when dividend/low-vol basket valuation becomes historically expensive.","High valuation can compress future returns and increase reversal risk.","PIT valuation metrics for portfolio/sleeves; historical distribution available to date","Percentiles computed expanding through prior date only; no future distribution.","Reduce valuation crash risk","Underperformance in momentum bull markets","high","medium","PIT data audit","future_percentile;return_tuned_threshold"
V5C_H08,cash_management,"Cash restoration rule: after defense triggers, restore target exposure only after a pre-declared recovery condition, not discretionary judgement.","Avoid permanent cash drag and discretionary market timing after defensive cuts.","Overlay state; cash ledger; recovery signal","Recovery signal must be PIT and pre-registered.","Lower cash drag after stress","Re-entry whipsaw","high","medium","Quant design spec","manual_reentry;best_reentry_date_selection"
V5C_H09,rebalancing,"Threshold rebalancing: rebalance sleeve weights when drift exceeds a pre-declared band, independent of historical return ranking.","Keeps sleeve risk budget stable and avoids concentration without changing stock selection.","Sleeve NAVs; target weights; transaction cost model","Drift based on observable current portfolio weights.","Risk control; transparent execution","Turnover; trims winners","medium","low","Quant design spec","band_optimization_on_2021_2026"
V5C_H10,cash_management,"Cash sleeve policy: defensive cash remains cash or pre-approved conservative asset only; benchmark impact and cash drag are reported separately.","Cash management must be governed so defense is not hidden alpha from unapproved assets.","Cash ledger; conservative asset data if later approved","If non-cash asset is used, source and PIT data must be approved first.","Cleaner attribution","Cash drag","low","low","PM policy design","buy_unapproved_assets;change_benchmark_after_result"
