priority_rank,sector_id,display_name,sector_type,pm_lane,next_agent,loop_type,timebox_minutes,required_packet,required_inputs,allowed_next_action,forbidden_action,graduation_gate,stop_condition,screening_decision,data_gate,pit_universe_gate,business_purity_gate,dividend_gate,fcf_gate,low_vol_gate,external_state_burden,sample_size_risk,notes
20,building_materials_cement,Building Materials / Cement,cyclical_cash_flow,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,can_build,needs_cement_glass_split,mixed,capex_and_real_estate_cycle_sensitive,can_build_from_daily_prices,high,medium,Could have cash-flow names but real-estate cycle exposure must be isolated.
20,food_beverage,Food / Beverage,consumer_cash_flow_quality,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,needs_subsector_split,needs_review,mixed,potentially_usable_after_inventory_channel_review,can_build_from_daily_prices,medium,medium,"Could fit cash-flow quality, but valuation and channel cycles matter."
20,gas_water_operators,Gas / Water Operators,regulated_stable_cash_flow,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,passed,passed_first_layer_reviewed,passed,needs_receivables_and_project_revenue_review,passed,medium,medium,Observation sleeve exists; deeper company-level tariff/pass-through data may be costly.
20,home_appliances,Home Appliances,consumer_cash_flow_quality,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,can_build,needs_review,likely_pass,potentially_usable_after_inventory_cycle_review,can_build_from_daily_prices,medium,medium,Potential dividend/FCF sleeve; needs real-estate and export cycle context.
60,consumer_staples_cashflow,Consumer Staples Cash-Flow Leaders,non_regulated_stable_cash_flow,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,needs_business_quality_screen,needs_review,mixed,potentially_usable_after_working_capital_review,can_build_from_daily_prices,medium,medium,Likely useful second-wave candidate; needs brand/channel/working-capital review.
70,pharma_medical_services,Pharma / Medical Services,policy_and_pipeline_sensitive,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,needs_subsector_split,needs_review,mixed,needs_r_and_d_and_policy_review,can_build_from_daily_prices,high,medium,Needs specialist split; not first-wave basket sleeve.
90,agriculture_forestry_fishery,Agriculture / Forestry / Fishery,commodity_biological_cycle,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,PM-approved new strategy family;fresh industry thesis;data availability note,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,new_strategy_family_required_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,excluded_by_business_model,excluded_by_business_model,can_build,needs_review,mixed,biological_and_commodity_cycle_sensitive,can_build_from_daily_prices,high,medium,Poor fit for stable dividend low-vol OCF/FCF basket.
90,computer_software,Computer / Software,growth_intangible,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,PM-approved new strategy family;fresh industry thesis;data availability note,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,new_strategy_family_required_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,excluded_by_business_model,excluded_by_business_model,can_build,needs_review,weak,r_and_d_and_project_sensitive,can_build_from_daily_prices,medium,medium,Not aligned with current dividend low-vol OCF/FCF mandate.
90,electronics_semiconductor,Electronics / Semiconductor,growth_cycle_capex,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,PM-approved new strategy family;fresh industry thesis;data availability note,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,new_strategy_family_required_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,excluded_by_business_model,excluded_by_business_model,can_build,needs_subsector_split,weak,capex_and_inventory_cycle_sensitive,can_build_from_daily_prices,high,medium,"May need a growth/cycle framework, not this ETF mandate."
90,environmental_project_operators,Environmental / Project Operators,project_cash_flow_trap_risk,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,business-purity split;receivables/project cash-flow review;original-report evidence,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,hard_data_gate_repaired_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,blocked_by_data_gate,blocked,needs_operator_project_split,incomplete,mixed,receivables_trap_high_risk,can_build_from_daily_prices,medium,medium,Potential value-trap cluster; data repair only.
