sector_id,display_name,production_lane,is_active_v57f_sleeve,basket_role,pm_bucket,basket_eligibility,next_agent,allowed_next_action,blocked_action,data_gate,external_state_burden,sample_size_risk,panel_csv,price_csv,dividend_csv,panel_exists,price_exists,dividend_exists,required_before_engineering,engineering_gate,pm_note
bank,Bank,core_frozen_refresh,yes,financial_value_quality_sleeve,core_or_observation_refresh_no_tuning,eligible_or_existing_sleeve_refresh_only,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,passed,medium,medium,数据库/processed/low_volatility_factors_v57/bank_v3_repaired/panel_with_low_vol.csv,数据库/processed/bank_v3_joinquant_real_daily_prices.csv,数据库/processed/bank_v3_joinquant_cash_dividends.csv,yes,yes,yes,run_local_daily_simulation_and_rebalance_order_health,ready_for_local_refresh,"Existing V57f sleeve; refresh only, no tuning."
highway_infrastructure,Highway Infrastructure,core_frozen_refresh,yes,nonfinancial_cashflow_core,core_or_observation_refresh_no_tuning,eligible_or_existing_sleeve_refresh_only,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,passed,medium,medium,数据库/processed/low_volatility_factors_v56/highway_v54h/panel_with_low_vol.csv,数据库/processed/highway_v54h_joinquant_real_daily_prices.csv,数据库/processed/highway_v54h_joinquant_cash_dividends.csv,yes,yes,yes,run_local_daily_simulation_and_rebalance_order_health,ready_for_local_refresh,"Existing V57f sleeve; refresh only, no tuning."
port_rail_infrastructure,Port / Rail Infrastructure,core_frozen_refresh,yes,nonfinancial_cashflow_candidate_pending_platform_replication,core_or_observation_refresh_no_tuning,eligible_or_existing_sleeve_refresh_only,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,passed_with_review_notes,medium_high,medium,数据库/processed/low_volatility_factors_v56/port_rail_v55j/panel_with_low_vol.csv,数据库/processed/port_rail_v55c_joinquant_real_daily_prices.csv,数据库/processed/port_rail_v55c_joinquant_cash_dividends.csv,yes,yes,yes,run_local_daily_simulation_and_rebalance_order_health,ready_for_local_refresh,"Existing V57f sleeve; refresh only, no tuning."
utilities_electricity,Utilities / Electricity,core_frozen_refresh,yes,nonfinancial_cashflow_core,core_or_observation_refresh_no_tuning,eligible_or_existing_sleeve_refresh_only,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,passed,medium,medium,数据库/processed/low_volatility_factors_v56/utilities_v51f/panel_with_low_vol.csv,数据库/processed/utilities_joinquant_real_daily_prices.csv,数据库/processed/utilities_joinquant_cash_dividends.csv,yes,yes,yes,run_local_daily_simulation_and_rebalance_order_health,ready_for_local_refresh,"Existing V57f sleeve; refresh only, no tuning."
gas_water_operators,Gas / Water Operators,observation_refresh_only,no,,core_or_observation_refresh_no_tuning,eligible_or_existing_sleeve_refresh_only,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,needs_manual_research,medium,medium,,,,no,no,no,PM_approval_required_before_basket_inclusion,not_core_engineering_observation_only,"gas_water_operators can be tracked, but cannot be silently added to frozen V57f."
insurance,Insurance,observation_refresh_only,no,,core_or_observation_refresh_no_tuning,eligible_or_existing_sleeve_refresh_only,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,specialist_data_partial,high,high,,,,no,no,no,PM_approval_required_before_basket_inclusion,not_core_engineering_observation_only,"insurance can be tracked, but cannot be silently added to frozen V57f."
consumer_staples_cashflow,Consumer Staples Cash-Flow Leaders,research_repair_queue,no,,research_repair_only,not_eligible_until_repair_passes,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,needs_manual_research,medium,medium,,,,no,no,no,Research_repairs_knowledge_data_or_specialist_gate,not_engineering_handoff,"Research/Quant loop may continue, but Engineering cannot receive it yet."
food_beverage,Food / Beverage,research_repair_queue,no,,research_repair_only,not_eligible_until_repair_passes,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,needs_manual_research,medium,medium,,,,no,no,no,Research_repairs_knowledge_data_or_specialist_gate,not_engineering_handoff,"Research/Quant loop may continue, but Engineering cannot receive it yet."
home_appliances,Home Appliances,research_repair_queue,no,,research_repair_only,not_eligible_until_repair_passes,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,needs_manual_research,medium,medium,,,,no,no,no,Research_repairs_knowledge_data_or_specialist_gate,not_engineering_handoff,"Research/Quant loop may continue, but Engineering cannot receive it yet."
logistics_express,Logistics / Express Delivery,research_repair_queue,no,,research_repair_only,not_eligible_until_repair_passes,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,low_priority_watchlist,medium,medium,,,,no,no,no,Research_repairs_knowledge_data_or_specialist_gate,not_engineering_handoff,"Research/Quant loop may continue, but Engineering cannot receive it yet."
oil_gas_pipeline_integrated,Oil / Gas Pipeline and Integrated Energy,research_repair_queue,no,,research_repair_only,not_eligible_until_repair_passes,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,platform_replication_pending_exports,high,medium,,,,no,no,no,Research_repairs_knowledge_data_or_specialist_gate,not_engineering_handoff,"Research/Quant loop may continue, but Engineering cannot receive it yet."
securities_brokerage,Securities / Brokerage,research_repair_queue,no,,research_repair_only,not_eligible_until_repair_passes,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,low_priority_watchlist,high,medium,,,,no,no,no,Research_repairs_knowledge_data_or_specialist_gate,not_engineering_handoff,"Research/Quant loop may continue, but Engineering cannot receive it yet."
telecom_operators,Telecom Operators,research_repair_queue,no,,research_repair_only,not_eligible_until_repair_passes,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,specialist_data_partial,medium,high,,,,no,no,no,Research_repairs_knowledge_data_or_specialist_gate,not_engineering_handoff,"Research/Quant loop may continue, but Engineering cannot receive it yet."
textile_apparel,Textile / Apparel,research_repair_queue,no,,research_repair_only,not_eligible_until_repair_passes,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,low_priority_watchlist,medium,medium,,,,no,no,no,Research_repairs_knowledge_data_or_specialist_gate,not_engineering_handoff,"Research/Quant loop may continue, but Engineering cannot receive it yet."
construction_engineering,Construction Engineering,data_gate_blocked,no,,blocked_by_data_gate,not_eligible,Research Agent,"repair PIT, business purity, receivables or original-source data",do not model or backtest,blocked,medium_high,medium,,,,no,no,no,repair_hard_data_gate_before_validation,blocked_before_modeling,Do not model until PIT and source data gate is repaired.
environmental_project_operators,Environmental / Project Operators,data_gate_blocked,no,,blocked_by_data_gate,not_eligible,Research Agent,"repair PIT, business purity, receivables or original-source data",do not model or backtest,blocked,medium,medium,,,,no,no,no,repair_hard_data_gate_before_validation,blocked_before_modeling,Do not model until PIT and source data gate is repaired.
nonferrous_metals,Nonferrous Metals,data_gate_blocked,no,,blocked_by_cycle_data_gate,not_eligible,Research Agent,repair commodity/output/inventory/spread/PIT exposure data only,do not model or backtest,blocked,high,medium,,,,no,no,no,repair_hard_data_gate_before_validation,blocked_before_modeling,Do not model until PIT and source data gate is repaired.
pharma_medical_services,Pharma / Medical Services,data_gate_blocked,no,,blocked_by_specialist_data_gate,not_eligible,Research Agent,"repair PIT R&D, procurement or policy-state fields only",do not run generic pharma OCF/low-vol formal validation,needs_manual_research,high,medium,,,,no,no,no,repair_hard_data_gate_before_validation,blocked_before_modeling,Do not model until PIT and source data gate is repaired.
shipping,Shipping,data_gate_blocked,no,,blocked_by_cycle_data_gate,not_eligible,Research Agent,repair commodity/output/inventory/spread/PIT exposure data only,do not model or backtest,blocked,high,medium,,,,no,no,no,repair_hard_data_gate_before_validation,blocked_before_modeling,Do not model until PIT and source data gate is repaired.
steel,Steel,data_gate_blocked,no,,blocked_by_cycle_data_gate,not_eligible,Research Agent,repair commodity/output/inventory/spread/PIT exposure data only,do not model or backtest,blocked,high,medium,,,,no,no,no,repair_hard_data_gate_before_validation,blocked_before_modeling,Do not model until PIT and source data gate is repaired.
auto_and_parts,Auto and Parts,archived_or_rejected,no,,archived_or_rejected,not_eligible,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,low_priority_watchlist,medium_high,medium,,,,no,no,no,new_research_hypothesis_required_before_restart,archived_not_engineering,Archive unless a new ex-ante hypothesis and source data appear.
building_materials_cement,Building Materials / Cement,archived_or_rejected,no,,archived_or_rejected,not_eligible,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,needs_manual_research,high,medium,,,,no,no,no,new_research_hypothesis_required_before_restart,archived_not_engineering,Archive unless a new ex-ante hypothesis and source data appear.
chemical_materials,Basic Chemicals,archived_or_rejected,no,,archived_or_rejected,not_eligible,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,low_priority_watchlist,high,medium,,,,no,no,no,new_research_hypothesis_required_before_restart,archived_not_engineering,Archive unless a new ex-ante hypothesis and source data appear.
coal,Coal,archived_or_rejected,no,,archived_or_rejected,not_eligible,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,blocked,high,medium,,,,no,no,no,new_research_hypothesis_required_before_restart,archived_not_engineering,Archive unless a new ex-ante hypothesis and source data appear.
machinery_equipment,Machinery / Equipment,archived_or_rejected,no,,archived_or_rejected,not_eligible,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,low_priority_watchlist,medium_high,medium,,,,no,no,no,new_research_hypothesis_required_before_restart,archived_not_engineering,Archive unless a new ex-ante hypothesis and source data appear.
retail_commerce,Retail / Commerce,archived_or_rejected,no,,archived_or_rejected,not_eligible,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,low_priority_watchlist,medium,medium,,,,no,no,no,new_research_hypothesis_required_before_restart,archived_not_engineering,Archive unless a new ex-ante hypothesis and source data appear.
agriculture_forestry_fishery,Agriculture / Forestry / Fishery,excluded_from_current_mandate,no,,excluded_from_current_mandate,not_eligible,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,excluded_by_business_model,high,medium,,,,no,no,no,new_strategy_family_required,excluded_not_engineering,Outside the current dividend low-volatility OCF/FCF mandate.
