priority_rank,sector_id,display_name,sector_type,pm_lane,next_agent,loop_type,timebox_minutes,required_packet,required_inputs,allowed_next_action,forbidden_action,graduation_gate,stop_condition,screening_decision,data_gate,pit_universe_gate,business_purity_gate,dividend_gate,fcf_gate,low_vol_gate,external_state_burden,sample_size_risk,notes
10,bank,Bank,financial_stable_cash_flow,basket_core_shadow_pool,Engineering Agent,frozen_sleeve_refresh_and_platform_attribution,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;fresh low-vol factors;frozen sleeve signals;daily attribution inputs,"Refresh PIT panels, low-vol factors, dividends, daily logs and platform-attribution inputs while keeping frozen strategy logic unchanged.","Do not tune factor weights, target count, guards or promote accepted status from historical backtest evidence.",paper_trading_record_or_platform_attribution_packet_completed,stop if frozen logic change is required or platform exports remain unavailable,ready_for_basket_shadow_pool,passed,passed,passed,passed,not_primary_financial_sector,passed_v56,medium,medium,Core dividend sleeve; keep bank-specific quality separate from generic FCF logic.
11,utilities_electricity,Utilities / Electricity,regulated_stable_cash_flow,basket_core_shadow_pool,Engineering Agent,frozen_sleeve_refresh_and_platform_attribution,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;fresh low-vol factors;frozen sleeve signals;daily attribution inputs,"Refresh PIT panels, low-vol factors, dividends, daily logs and platform-attribution inputs while keeping frozen strategy logic unchanged.","Do not tune factor weights, target count, guards or promote accepted status from historical backtest evidence.",paper_trading_record_or_platform_attribution_packet_completed,stop if frozen logic change is required or platform exports remain unavailable,ready_for_basket_shadow_pool,passed,passed,passed,passed,enhancement_only_after_capex_review,passed_v56,medium,medium,Golden template; OCF and demand state remain stronger than raw FCF.
12,highway_infrastructure,Highway Infrastructure,toll_stable_cash_flow,basket_core_shadow_pool,Engineering Agent,frozen_sleeve_refresh_and_platform_attribution,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;fresh low-vol factors;frozen sleeve signals;daily attribution inputs,"Refresh PIT panels, low-vol factors, dividends, daily logs and platform-attribution inputs while keeping frozen strategy logic unchanged.","Do not tune factor weights, target count, guards or promote accepted status from historical backtest evidence.",paper_trading_record_or_platform_attribution_packet_completed,stop if frozen logic change is required or platform exports remain unavailable,ready_for_basket_shadow_pool,passed,passed,passed,passed,diagnostic_not_primary,passed_v56,medium,medium,Strong cash-flow sleeve; concession life and capex policy must remain as value-trap context.
13,port_rail_infrastructure,Port / Rail Infrastructure,transport_stable_cash_flow_with_trade_cycle,basket_core_shadow_pool,Engineering Agent,frozen_sleeve_refresh_and_platform_attribution,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;fresh low-vol factors;frozen sleeve signals;daily attribution inputs,"Refresh PIT panels, low-vol factors, dividends, daily logs and platform-attribution inputs while keeping frozen strategy logic unchanged.","Do not tune factor weights, target count, guards or promote accepted status from historical backtest evidence.",paper_trading_record_or_platform_attribution_packet_completed,stop if frozen logic change is required or platform exports remain unavailable,ready_for_basket_shadow_pool,passed_with_review_notes,passed,reviewed_source_repair_completed,passed,usable_with_capex_review,passed_v56,medium_high,medium,"Eligible for shadow basket, but platform replication and benchmark purity remain pending."
20,gas_water_operators,Gas / Water Operators,regulated_stable_cash_flow,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,passed_with_governance_review,passed,passed_first_layer_spot_check_pending,passed,needs_receivables_and_project_revenue_review,can_build_from_daily_prices,medium,medium,"Research and data repair are materially complete: business purity, direct receivables/debt evidence, real daily prices, dividends and local simulation exist. Keep out of basket until strict coverage policy, 2026 ex-ante state hypothesis and benchmark policy are resolved."
30,telecom_operators,Telecom Operators,stable_cash_flow_small_sample,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;capex cycle review;operator purity evidence;small-sample sleeve policy,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_approves_specialist_or_small_sample_policy,stop if sample policy or specialist data is not approved,basket_observation_only,needs_manual_research,likely_pass,simple_explicit_universe,likely_pass,needs_operator_capex_review,can_build_from_daily_prices,medium,high,Good business fit but only three core A-share operators; treat as observation sleeve.
31,airport_transport_operators,Airport / Transport Operators,transport_recovery_cash_flow,blocked_data_repair,Research Agent,blocker_repair_only,60,blocker_packet,business-purity split;receivables/project cash-flow review;original-report evidence,"Repair missing PIT data, external state data, business-exposure evidence or original-report review.",Do not build or backtest a strategy while the hard data gate is blocked.,hard_data_gate_repaired_before_modeling,stop after 2 loops without new source evidence; archive blocker packet,archived_strategy_candidate_failed,strategy_candidate_failed,passed,passed_first_layer_spot_check_pending,mixed,failed_for_basket_until_new_domain_data,can_build_from_daily_prices,medium_high,medium,"Workflow replication passed, but V5.8 and V5.8b strategy hypotheses failed. Archive until new ex-ante airport domain data such as international recovery, duty-free/lease terms, concession policy and capex cycle are available."
40,insurance,Insurance,financial_specialist,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,multi-year PIT EV/NBV or P/EV;solvency disclosures;interest-rate state;equity-market state,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_approves_specialist_or_small_sample_policy,stop if sample policy or specialist data is not approved,basket_observation_only,specialist_data_partial,passed_core5,passed_core5,passed,not_applicable,can_build_from_daily_prices,high,high,Specialist sleeve only; EV/NBV/P/EV and concentration risks prevent generic FCF basket treatment.
50,oil_gas_pipeline_integrated,Oil / Gas Pipeline and Integrated Energy,cycle_aware_cash_flow,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;small-sample or specialist sleeve policy,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_approves_specialist_or_small_sample_policy,stop if sample policy or specialist data is not approved,platform_replication_pending_before_basket,platform_replication_pending_exports,passed_proxy_business_exposure_review_pending,needs_annual_report_exposure_review,passed_for_local_simulation,needs_commodity_and_capex_policy_review,can_build_from_daily_prices,high,medium,"V5.8g/V5.8i has research validation, local daily simulation, sector benchmark and platform-replication packet prepared. Do not add to enhanced ETF basket until platform exports, business-exposure review and remaining source gates are resolved."
60,consumer_staples_cashflow,Consumer Staples Cash-Flow Leaders,non_regulated_stable_cash_flow,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,needs_business_quality_screen,needs_review,mixed,potentially_usable_after_working_capital_review,can_build_from_daily_prices,medium,medium,"May improve cash-flow coverage but valuation, brand cycle and working-capital risks differ from utilities."
