card_id,source_type,source_title,author_or_institution,publish_date,source_link_or_location,key_claim,evidence_type,confidence_level,applicable_to_v5c,pit_safety,can_be_quant_hypothesis,notes
THEORY_001,academic,A Quantitative Approach to Tactical Asset Allocation,Mebane T. Faber,2007,SSRN/paper location needs verification,Long-term trend filters can be studied as portfolio-level risk-state overlays.,academic_framework,medium,yes,needs_check,maybe,Can inspire broad-market trend defense; no direct parameter transfer.
THEORY_002,academic,Volatility Managed Portfolios,Moreira and Muir,2017,publication location needs verification,Realized volatility can contain information for scaling risky exposure.,academic_framework,medium,yes,needs_check,maybe,Relevant to volatility target overlay; must control turnover and cash drag.
THEORY_003,academic,Time Series Momentum: A Century of Evidence,Moskowitz Ooi Pedersen,2012,publication location needs verification,"Time-series trend has cross-asset evidence, but local market and asset-class transfer must be tested.",academic_framework,medium,maybe,needs_check,maybe,"Use only as broad trend concept, not as V57f timing rule."
THEORY_004,academic,Trading Is Hazardous to Your Wealth,Barber and Odean,2000,publication location needs verification,High turnover and overtrading can harm realized investor outcomes.,academic_evidence,medium,yes,needs_check,no,Supports limiting overlay complexity and trading frequency.
THEORY_005,book,The Intelligent Investor,Benjamin Graham,1949,book/user notes needed,Margin of safety and discipline matter more than frequent prediction.,investment_framework,medium,yes,needs_check,no,Framework only; cannot become a threshold.
THEORY_006,book,A Random Walk Down Wall Street,Burton Malkiel,1973,book/user notes needed,Market timing is difficult and may be costly.,investment_framework,medium,yes,needs_check,no,"Supports simple, transparent overlays."
THEORY_007,book,Rebalancing and risk budgeting frameworks,Multiple authors,unknown,user notes/source needed,Rebalancing can harvest sleeve drift and restore risk budgets when assets mean-revert.,investment_framework,low,yes,needs_check,maybe,Needs exact source before evidence use.
THEORY_008,public,ETF and index methodology principles,Index/fund providers,to_collect,official methodology to collect,Dividend/low-vol products usually rely on transparent periodic rules rather than discretionary short-term timing.,official_framework_needed,low,yes,needs_check,maybe,Requires official methodology collection before using as A-grade source.
THEORY_009,public,如何改进再平衡策略？,BigQuant,2022-08-31,https://bigquant.com/wiki/doc/M1xToT82Te,A secondary summary of Strategic Rebalancing argues that mechanical rebalancing can have crisis-period drawbacks and that trend exposure may offset part of that risk.,secondary_research_summary,medium,yes,needs_check,maybe,Useful source lead for combining rebalancing with trend defense; primary Rattray et al. paper still needed.
THEORY_010,academic,A Quantitative Approach to Tactical Asset Allocation,Mebane T. Faber,2007,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=962461,Long-term moving-average tactical allocation is a simple framework for studying broad trend defense.,academic_framework,medium,yes,needs_check,maybe,Use only as hypothesis source; no direct 10-month parameter transfer.
