priority_rank,sector_id,display_name,sector_type,pm_lane,next_agent,loop_type,timebox_minutes,required_packet,required_inputs,allowed_next_action,forbidden_action,graduation_gate,stop_condition,screening_decision,data_gate,pit_universe_gate,business_purity_gate,dividend_gate,fcf_gate,low_vol_gate,external_state_burden,sample_size_risk,notes
10,bank,Bank,financial_stable_cash_flow,basket_core_shadow_pool,Engineering Agent,frozen_sleeve_refresh_and_platform_attribution,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;fresh low-vol factors;frozen sleeve signals;daily attribution inputs,"Refresh PIT panels, low-vol factors, dividends, daily logs and platform-attribution inputs while keeping frozen strategy logic unchanged.","Do not tune factor weights, target count, guards or promote accepted status from historical backtest evidence.",paper_trading_record_or_platform_attribution_packet_completed,stop if frozen logic change is required or platform exports remain unavailable,ready_for_basket_shadow_pool,passed,passed,passed,passed,not_primary_financial_sector,passed,medium,medium,Core financial dividend sleeve; bank quality stays sector-specific.
11,utilities_electricity,Utilities / Electricity,regulated_stable_cash_flow,basket_core_shadow_pool,Engineering Agent,frozen_sleeve_refresh_and_platform_attribution,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;fresh low-vol factors;frozen sleeve signals;daily attribution inputs,"Refresh PIT panels, low-vol factors, dividends, daily logs and platform-attribution inputs while keeping frozen strategy logic unchanged.","Do not tune factor weights, target count, guards or promote accepted status from historical backtest evidence.",paper_trading_record_or_platform_attribution_packet_completed,stop if frozen logic change is required or platform exports remain unavailable,ready_for_basket_shadow_pool,passed,passed,passed,passed,enhancement_only_after_capex_review,passed,medium,medium,Golden template; OCF and demand state dominate raw FCF.
12,highway_infrastructure,Highway Infrastructure,toll_stable_cash_flow,basket_core_shadow_pool,Engineering Agent,frozen_sleeve_refresh_and_platform_attribution,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;fresh low-vol factors;frozen sleeve signals;daily attribution inputs,"Refresh PIT panels, low-vol factors, dividends, daily logs and platform-attribution inputs while keeping frozen strategy logic unchanged.","Do not tune factor weights, target count, guards or promote accepted status from historical backtest evidence.",paper_trading_record_or_platform_attribution_packet_completed,stop if frozen logic change is required or platform exports remain unavailable,ready_for_basket_shadow_pool,passed,passed,passed,passed,diagnostic_not_primary,passed,medium,medium,Strong cash-flow sleeve; concession life stays value-trap context.
13,port_rail_infrastructure,Port / Rail Infrastructure,transport_stable_cash_flow_with_trade_cycle,basket_core_shadow_pool,Engineering Agent,frozen_sleeve_refresh_and_platform_attribution,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;fresh low-vol factors;frozen sleeve signals;daily attribution inputs,"Refresh PIT panels, low-vol factors, dividends, daily logs and platform-attribution inputs while keeping frozen strategy logic unchanged.","Do not tune factor weights, target count, guards or promote accepted status from historical backtest evidence.",paper_trading_record_or_platform_attribution_packet_completed,stop if frozen logic change is required or platform exports remain unavailable,ready_for_basket_shadow_pool,passed_with_review_notes,passed,reviewed_source_repair_completed,passed,usable_with_capex_review,passed,medium_high,medium,Eligible for shadow basket but platform attribution remains pending.
20,building_materials_cement,Building Materials / Cement,cyclical_cash_flow,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,can_build,needs_cement_glass_split,mixed,capex_and_real_estate_cycle_sensitive,can_build_from_daily_prices,high,medium,Could have cash-flow names but real-estate cycle exposure must be isolated.
20,food_beverage,Food / Beverage,consumer_cash_flow_quality,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,needs_subsector_split,needs_review,mixed,potentially_usable_after_inventory_channel_review,can_build_from_daily_prices,medium,medium,"Could fit cash-flow quality, but valuation and channel cycles matter."
20,gas_water_operators,Gas / Water Operators,regulated_stable_cash_flow,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,passed,passed_first_layer_reviewed,passed,needs_receivables_and_project_revenue_review,passed,medium,medium,Observation sleeve exists; deeper company-level tariff/pass-through data may be costly.
20,home_appliances,Home Appliances,consumer_cash_flow_quality,manual_research_before_formal,Research Agent,industry_knowledge_data_gate_repair,60,checkpoint_packet_or_blocker_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;industry knowledge packet;business-purity evidence;FCF/capex-quality gate;external state map,"Build industry knowledge, business-purity evidence, PIT field map, FCF/capex-quality gate and source register before Quant validation.",Do not run formal modeling before the data availability gate is passed.,industry_knowledge_and_data_availability_gate_passed,stop after 2 loops without new evidence or if the next stage gate needs PM approval,needs_manual_research_before_formal,needs_manual_research,can_build,needs_review,likely_pass,potentially_usable_after_inventory_cycle_review,can_build_from_daily_prices,medium,medium,Potential dividend/FCF sleeve; needs real-estate and export cycle context.
30,telecom_operators,Telecom Operators,stable_cash_flow_small_sample,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;capex cycle review;operator purity evidence;small-sample sleeve policy,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_approves_specialist_or_small_sample_policy,stop if sample policy or specialist data is not approved,basket_observation_only,specialist_data_partial,likely_pass,simple_core3,likely_pass,needs_capex_cycle_review,passed,medium,high,Good fit but too few core names for broad IC standards.
40,auto_and_parts,Auto and Parts,manufacturing_cycle,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,needs_oem_parts_split,mixed,capex_and_inventory_sensitive,can_build_from_daily_prices,medium_high,medium,"Some cash-flow names exist, but sector is too cycle/competition heavy for first wave."
