source_id,sector_id,source_type,title,owner_or_org,url,role,evidence_status,notes
v5a4_cement_001,building_materials_cement,research_report_pdf,水泥价格修复提升盈利可期 高分红投资价值凸显,东莞证券,https://pdf.dfcfw.com/pdf/H3_AP202408301639626756_1.pdf,cement demand/price/dividend context,research_context_only,"Useful for cement cycle and dividend context; formal fields require PIT source."
v5a4_cement_002,building_materials_cement,credit_report_pdf,水泥行业信用分析报告（2026年5月）,联合资信,https://www.lhratings.com/file/g2c72b37dee.pdf,cement cash flow/leverage/cycle context,research_context_only,"Credit report notes cash-flow and leverage context; not a factor data source."
v5a4_fcf_001,cross_sector,research_article,高股息与高自由现金流策略的全面对比与优化,源达信息 via Hibor,https://www.hibor.com.cn/repinfodetail_4493774.html,dividend vs FCF strategy context,research_context_only,"Use as external strategy reference only; verify methodology before using."
v5a4_food_001,food_beverage,source_plan,Food/beverage source plan,Research Agent,manual_source_collection,subsector/business/working-capital sources,source_plan_only,"Use annual reports, exchange announcements, industry reports and PIT financial database."
v5a4_home_001,home_appliances,source_plan,Home appliance source plan,Research Agent,manual_source_collection,property/export/inventory/capex state sources,source_plan_only,"Use annual reports, customs/export proxies, NBS property data and PIT financial database."
v5a4_pharma_001,pharma_medical_services,existing_source_plan,Pharma source collection plan,Research Agent,knowledge/research_agent/references/pharma_source_collection_plan.md,policy/R&D/subsector data gate,existing_local_source,"Already exists; formal validation remains blocked until subsector and policy gates pass."
v5a4_consumer_001,consumer_staples_cashflow,existing_framework,Consumer staples cash-flow framework,Research Agent,knowledge/research_agent/factor_theory/consumer_staples_cashflow_framework.md,OCF/working-capital/capex gate,existing_local_source,"Already exists; data gate still not passed."
v5a4_gas_water_001,gas_water_operators,existing_framework,Gas / water operator framework,Research Agent,knowledge/research_agent/factor_theory/gas_water_operator_cashflow_dividend_framework_v57.md,regulated operator cash-flow state,existing_local_source,"Prior V59b work has local daily simulation; keep observation/paper lane unless PM upgrades."
v5a4_port_rail_001,port_rail_infrastructure,existing_framework,Port / rail operating-state framework,Research Agent,knowledge/research_agent/factor_theory/port_rail_operating_state_framework.md,transport infrastructure cash-flow state,existing_local_source,"Prior validation and local daily work exist; use as refresh/attribution lane, not new hypothesis tuning."

