card_id,report_id,source_grade,title,institution,publish_date,pdf_path,page_num,topic,key_claim,evidence,applicable_to_v5c,pit_safety,can_be_quant_hypothesis,limitation,next_required_data
V5C_FX_AB_001,5281979,A,基于风险预算的ETF配置实践：ETF配置系列（三）：构建不同风险偏好的ETF配置策略,国泰海通证券,2026/03/03,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5281979.pdf,3,rebalancing,ETF-based multi-asset allocation is framed as a way to diversify risk sources and smooth the portfolio path.,"The report states that adding low-correlation assets such as equity, bonds, commodities, gold and REITs can reduce single-market systematic risk and maximum drawdown, and presents ETFs as transparent, low-cost implementation tools.",yes,safe_as_research_framework_only,yes,Multi-asset ETF framework is not a direct V57f stock-sleeve rule and cannot set V5c parameters by itself.,"PIT daily ETF or sleeve returns, sleeve correlations, rebalance calendar, transaction cost and cash proxy rules."
V5C_FX_AB_002,5281979,A,基于风险预算的ETF配置实践：ETF配置系列（三）：构建不同风险偏好的ETF配置策略,国泰海通证券,2026/03/03,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5281979.pdf,"6,8",risk_budget,"Low-risk portfolio construction can use risk budget as the base, with momentum only adjusting budget rather than replacing risk control.","The report separates low-risk and high-risk objectives, uses risk budget as the base for low-risk portfolios, and explains risk parity as allocating by risk contribution rather than capital weight.",yes,needs_check_for_future_signals,yes,The report's target-volatility and momentum settings are source-specific and cannot be copied as V5c thresholds.,"V57f realized volatility, sleeve risk contribution, PIT momentum inputs if PM opens a later quant stage."
V5C_FX_AB_003,5281979,A,基于风险预算的ETF配置实践：ETF配置系列（三）：构建不同风险偏好的ETF配置策略,国泰海通证券,2026/03/03,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5281979.pdf,"10,12",cash_management,Pure cash can create long-term cash drag when volatility targeting reduces equity exposure.,The report uses short-duration bond ETF exposure as a cash substitute because leaving a large cash position idle during risk reduction can materially hurt compounding.,yes,needs_check_for_cash_proxy,yes,Cash substitute selection requires a separate V5c policy; V57f itself must not be changed in this knowledge stage.,"Cash yield assumptions, short-term bond proxy PIT prices, transaction costs, liquidity and drawdown behavior."
V5C_FX_AB_004,5346188,A,基于“组合保险+风险预算”两阶段法：稳健型多资产组合设计思路,东方证券,2026/04/11,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5346188.pdf,"1,6,7",defense,"A two-stage overlay can combine portfolio insurance with risk budgeting, using risk features rather than return forecasts.","The report proposes CPPI-style portfolio insurance for each risk asset, then allocates across sub-portfolios by risk budget, with downside control at the sub-portfolio and aggregate levels.",yes,needs_check_for_future_signals,yes,CPPI-like mechanics can increase complexity and must not become a multi-parameter historical fit.,"V57f floor policy candidates, risk multiplier governance, cash proxy, daily portfolio value and drawdown state."
V5C_FX_AB_005,5138693,A,金融工程深度：2025Q3超额回撤控制：动态风控视角,浙商证券,2025/11/06,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5138693.pdf,"8,9,10",volatility,Volatility clustering can justify a discrete defensive state instead of continuous timing.,The report identifies factor-volatility clustering and uses a short-versus-medium volatility spread to switch between a tighter ETF-like mode and a looser active-risk mode.,maybe,needs_check_for_factor_or_portfolio_volatility,yes,"The evidence comes from index-enhancement risk control, not a dividend-low-vol ETF candidate; V5c should translate it cautiously to portfolio-level volatility states.","PIT V57f portfolio realized volatility, core sleeve volatility, market breadth/concentration proxy if used."
V5C_FX_AB_006,5138693,A,金融工程深度：2025Q3超额回撤控制：动态风控视角,浙商证券,2025/11/06,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5138693.pdf,"12,13,14",defense,"Dynamic defensive switching can reduce drawdown but raises turnover, so execution cost must be part of the evidence contract.","The report reports lower maximum excess drawdown for the dynamic risk-control portfolio, while also showing materially higher turnover and listing model failure risks.",yes,needs_check_for_future_signals,yes,Cannot use the report's historical performance as V5c parameter proof; cost and order-health must be tested later.,"V57f turnover impact, tax/fee assumptions, rebalance-order health, cash/holding logs."
V5C_FX_AB_007,5272355,A,主动量化研究系列：指增超额回撤控制：波动率分域视角,浙商证券,2026/02/24,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5272355.pdf,1,volatility,High-volatility holdings can be managed with tighter active-weight deviation while lower-volatility holdings receive more flexibility.,The report's core view is that residual-volatility buckets can be used to tighten overweight and underweight constraints for high-volatility stocks while allowing more room for low-volatility stocks.,maybe,needs_check_for_holdings_state,yes,"The report is about index-enhancement excess-risk management; V5c can use it only as a sleeve risk-budget hypothesis, not as a stock-selection change.","Daily stock/sleeve volatility, current holdings weights, target weights, drift limits and rebalance dates."
V5C_FX_AB_008,5512765,A,金融工程专题研究：中证智选高股息策略指数十问十答,国信证券,2026/07/06,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5512765.pdf,"1,2,3",dividend_low_vol_risk,Dividend strategy evidence needs the actual dividend process and observable announcement dates.,"The report lays out the cash-dividend workflow from proposal and shareholder approval to implementation announcement, record date and ex-dividend date, and discusses expected dividend yield versus realized dividend yield.",yes,safe_as_data_requirement,yes,"This supports PIT dividend-state requirements, not a direct profit-taking parameter.","Dividend proposal date, shareholder approval date, implementation announcement date, record date, ex-dividend date and cash dividend amount."
V5C_FX_AB_009,5512765,A,金融工程专题研究：中证智选高股息策略指数十问十答,国信证券,2026/07/06,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5512765.pdf,"7,10",dividend_low_vol_risk,"Volatility-adjusted dividend signals can be a dividend-risk control idea, but must remain separate from V57f core factors.",The report compares dividend index construction details and discusses volatility-adjusted dividend ranking as part of high-dividend index design.,yes,needs_check_for_index_rule_dates,maybe,Index construction evidence does not authorize changing V57f factors or sleeve weights.,"Historical index methodology dates, PIT dividend estimates, realized volatility and rebalance-calendar alignment."
V5C_FX_AB_010,5066564,B,量化策略研究：高股息与高自由现金流策略的全面对比与优化,源达信息,2025/09/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5066564.pdf,"3,4",dividend_low_vol_risk,"Free cash flow can explain dividend capacity, while red-low-vol rules emphasize dividend continuity and volatility control.","The report compares free-cash-flow and red-low-vol index logic, noting that free cash flow is an upstream source of dividends while red-low-vol uses continuous dividend and low-volatility filters.",yes,needs_check_for_financial_statement_lag,yes,"Source is useful for research framing, but the report's optimized stock-count and rebalance choices must not be copied.","PIT FCF, OCF, dividend continuity, expected dividend yield, volatility and announcement-date contracts."
V5C_FX_AB_011,5066564,B,量化策略研究：高股息与高自由现金流策略的全面对比与优化,源达信息,2025/09/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5066564.pdf,"5,6,7",risk_budget,"Free-cash-flow weighting can create concentration risk, while fewer high-yield holdings can raise drawdown risk.",The report notes higher top-10 concentration for the free-cash-flow index and shows that concentrated FCF or dividend portfolios may have large maximum drawdowns.,yes,needs_check_for_weight_and_concentration,yes,"This is a risk warning for V5c, not a mandate to chase high-return concentrated variants.","V57f sleeve concentration, single-name caps, sector caps, drawdown contribution and liquidity constraints."
V5C_FX_AB_012,5058677,B,利率下行周期中的高股息增强策略,中泰证券,2025/09/10,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5058677.pdf,"15,16,17,18,19",dividend_low_vol_risk,"High dividend is not automatically low risk; low volatility, earnings quality and rate regime can affect whether the style remains defensive.","The report builds high-dividend enhancement dimensions including stable earnings, growth, short duration and low volatility, and maps different dimensions to domestic interest-rate stages.",yes,needs_check_for_macro_state_publication,maybe,Rate-regime framing is a research prior only; V5c must not tune thresholds to 2021-2026 history.,"PIT 10Y yield, earnings-quality disclosures, dividend sustainability and low-volatility measures."
V5C_FX_AB_013,5193364,B,“质量红利”占比调升，从红利低波年度调仓初看 2026 年红利配置机会,长江证券,2025/12/18,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5193364.pdf,"2,4",dividend_low_vol_risk,"Dividend sleeves may shift among stable, cyclical and quality dividend assets under different rate-liquidity states.","The report classifies dividend assets into stable dividend, cyclical dividend, quality dividend and resource dividend groups, and links rate/liquidity conditions to the relative appeal of these groups.",yes,needs_check_for_state_variables,maybe,This is a qualitative state map; it cannot be used to add new sleeves or rewrite V57f core.,"PIT rate, liquidity proxy, dividend group exposure and sleeve attribution."
