category,check,severity,detail,metrics_json
survivorship_bias,spec_universe_point_in_time,pass,Universe must be point-in-time rather than today's surviving constituents.,"{""point_in_time"": true}"
survivorship_bias,panel_universe_visibility,pass,Panel should expose universe/listing/membership visible dates and they must be <= trade_date.,"{""examples"": """", ""future_visible_date_violations"": 0, ""missing_ratio"": 0.0, ""rows"": 351, ""rows_with_universe_visible_date"": 351}"
survivorship_bias,first_date_constituent_smell_test,pass,"If the first date already contains nearly all eventual securities, review for today's-universe backfill.","{""all_code_count"": 26, ""date_count"": 18, ""first_date"": ""2022-01-04"", ""first_date_count"": 19, ""first_date_ratio"": 0.730769}"
future_leakage,normalization_scope,pass,Full-sample normalization is a future function.,"{""normalization_scope"": ""rebalance_cross_section""}"
future_leakage,factor_as_of_policy,pass,"Factor as_of policy must be announcement_date, report_publish_date, or trade_date_lagged.","{""unsafe_factors"": """"}"
future_leakage,panel_visible_dates,pass,All panel visible/notice/announce dates must be <= trade_date.,"{""examples"": """", ""violations"": 0, ""visible_fields"": ""bitumen_price_state_source_visible_date;bitumen_price_state_visible_date;business_exposure_visible_date;crude_oil_price_state_source_visible_date;crude_oil_price_state_visible_date;factor_visible_date;fuel_oil_price_state_visible_date;gas_liquid_price_state_source_visible_date;gas_liquid_price_state_visible_date;low_sulfur_fuel_oil_price_state_visible_date;low_vol_factor_visible_date;refining_spread_proxy_state_source_visible_date;refining_spread_proxy_state_visible_date;universe_visible_date""}"
future_leakage,rebalance_signal_visible_dates,pass,State/timing rows in rebalance_signals must be visible no later than trade_date.,"{""examples"": """", ""violations"": 0, ""visible_fields"": ""business_tag_visible_date;external_state_visible_date;factor_visible_date;universe_visible_date""}"
sample_contamination,rolling_validation_required,pass,Single-model validation should be rolling; platform-confirmation windows are not clean out-of-sample acceptance.,"{""validation_method"": ""rolling""}"
sample_contamination,accepted_status_guard,pass,A strategy cannot be marked accepted based only on backtest/platform-confirmation evidence.,"{""meta_status"": ""research_pit_validation_candidate_core_source_gate_repaired_not_engineering_handoff""}"
sample_contamination,platform_window_usage,needs_review,"The 2021-05 to 2026-05 window is platform confirmation / replication context, not clean OOS model acceptance.","{""daily_end"": ""2026-05-29"", ""daily_start"": ""2021-05-06"", ""experiment_layer"": ""engineering_smoke_test"", ""overlaps_2021_2026_confirmation_window"": true}"
stability,daily_return_random_windows,pass,Randomly change backtest sub-windows and verify the result is not dependent on one lucky date range.,"{""best_window"": ""2021-06-24..2026-03-06:1.341608"", ""median_excess_return"": 0.48956, ""median_strategy_return"": 0.294099, ""min_window_days"": 252, ""p10_excess_return"": 0.1581, ""p10_strategy_return"": 0.098757, ""positive_window_ratio"": 0.99, ""random_windows"": 100, ""worst_window"": ""2021-08-05..2022-09-20:-0.026925""}"
stability,execution_time_shift_proxy,pass,Proxy for changing buy/sell timing by shifting daily returns one day. Large sensitivity requires intraday/timing attribution.,"{""base_return"": 0.997924, ""max_abs_diff"": 0.01757, ""shift_backward_return"": 0.997924, ""shift_forward_return"": 1.015494}"
stability,parameter_perturbation_contract,needs_review,Strategy validation contract should include parameter perturbation or robustness tests before PM promotion.,"{""required_tests"": []}"
stability,parameter_perturbation_from_signals,pass,"Review whether small parameter changes alter selected_count, state cases, or factor family unexpectedly.","{""configured_selection_count"": 8, ""note"": ""For full parameter perturbation, rerun the strategy runner with selection_count 8/10/12 or documented thresholds."", ""observed_cases"": ""composite_current"", ""observed_factors"": ""cycle_defensive_low_vol_score;operating_cash_flow_yield;low_vol_score;low_price_to_book;dividend_yield;state_conditioned_ocf_score;operating_cash_flow_yield;low_vol_score;low_price_to_book;dividend_yield"", ""observed_selected_counts"": ""8""}"
