review_order,report_id,seed_keyword,title,institution,publish_date,pdf_path,review_method,review_gate,duplicate_policy,allowed_output
1,5198160,红利低波,指数基金投资+：A股ETF买入超五百亿，推荐红利低波ETF,华鑫证券,2025/12/22,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5198160.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
2,5027124,红利低波,国联安中证A500红利低波ETF（560573）：聚焦红利属性，把握低波风格,长江证券,2025/08/28,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5027124.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
3,5195593,红利低波,金融工程：AI识图关注通信、红利低波、创业板,广发证券,2025/12/07,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5195593.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
4,5337289,红利低波,金融工程：AI 识图关注银行、金融、公用事业、红利低波 A 股量化择时研究报告,广发证券,2026/03/29,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5337289.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
5,5544913,红利低波,金融工程：AI识图关注半导体、能源、红利低波——A股量化择时研究报告,广发证券,2026/07/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5544913.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
6,5011349,红利低波,2025年7月新基金发行报告（新基金受理与机构新设篇）：创业板ETF将扩容，首批中证A500红利低波ETF获批,上海证券,2025/08/22,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5011349.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
7,5193364,红利低波,“质量红利”占比调升，从红利低波年度调仓初看 2026 年红利配置机会,长江证券,2025/12/18,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5193364.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
8,5209020,红利低波,布局2026红利低波策略年度解读20251225,未知机构,2025/12/25,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5209020.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
9,5203254,红利低波,红利低波策略年度解读,-,2025/12/26,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5203254.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
10,5479745,红利低波,上周红利低波策略获资金流入,华泰证券,2026/06/15,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5479745.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
11,5154569,红利低波,量化观市：市场卖压有所缓解，红利低波表现较优,国联民生证券,2025/11/18,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5154569.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
12,5324456,红利低波,A股量化择时研究报告：AI识图关注红利低波、银行、地产,广发证券,2026/03/23,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5324456.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
13,5512765,高股息 策略,金融工程专题研究：中证智选高股息策略指数十问十答,国信证券,2026/07/06,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5512765.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
14,5127120,高股息 策略,基金分析报告：低利率环境资产寻优：广发中证智选高股息策略ETF,民生证券,2025/10/31,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5127120.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
15,5270252,高股息 策略,高速公路2026年投资策略：高股息再入配置区间，静待政策催化,国盛证券,2026/02/23,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5270252.pdf,PyMuPDF text extraction plus page-level original review,PDF_original_checked_before_A_B_card,dedupe_by_report_id_for_final_decision,A_B_card_or_rejected_source
