source_id,source_type,source_title,author_or_institution,publish_date,source_link_or_location,source_grade,used_in_cards,verification_status,notes
SRC_LOCAL_001,official,V5 scope closeout summary,V5 PM governance,2026-07-25,v5_scope_closeout/current/v5_scope_closeout_summary.json,A,FACT_001;FACT_002,verified_local,Defines V5 end date and no V57f modification rule.
SRC_LOCAL_002,official,V57f execution robustness summary,V5 Engineering governance,2026-07-23,execution_robustness_v57f/current/execution_robustness_summary.json,A,FACT_003;FACT_004,verified_local,Execution timing robustness completed; no further minute-level timing optimization.
SRC_LOCAL_003,official,V5b three-track execution summary,V5 PM governance,2026-07-25,v5b_three_track_execution/current/v5b_three_track_execution_summary.json,A,FACT_005;FACT_006,verified_local,Sidecar and drawdown evidence from local execution.
SRC_LOCAL_004,official,V5 enhanced ETF governance summary,V5 PM governance,2026-07-24,enhanced_etf_governance_v5/current/enhanced_etf_governance_summary.json,A,FACT_007,verified_local,Observation sleeves cannot enter V57f core without PM gate.
SRC_ACAD_001,academic,A Quantitative Approach to Tactical Asset Allocation,Mebane T. Faber,2007,SSRN/paper location needs verification,A,THEORY_001,needs_check,Classic long-term moving-average tactical allocation framework; not parameter evidence.
SRC_ACAD_002,academic,Volatility Managed Portfolios,Alan Moreira and Tyler Muir,2017,Journal/paper location needs verification,A,THEORY_002,needs_check,Supports volatility state as risk management concept; not a direct V5c rule.
SRC_ACAD_003,academic,Time Series Momentum: A Century of Evidence,Moskowitz Ooi Pedersen,2012,Journal/paper location needs verification,A,THEORY_003,needs_check,Trend-following evidence; must be adapted cautiously to A-share dividend ETF context.
SRC_ACAD_004,academic,Trading Is Hazardous to Your Wealth,Brad Barber and Terrance Odean,2000,Journal/paper location needs verification,A,THEORY_004,needs_check,Supports turnover discipline and behavioral caution.
SRC_BOOK_001,book,The Intelligent Investor,Benjamin Graham,1949,book/user notes needed,C,THEORY_005,needs_user_material,Margin of safety and discipline; not quantitative parameter source.
SRC_BOOK_002,book,A Random Walk Down Wall Street,Burton Malkiel,1973,book/user notes needed,C,THEORY_006,needs_user_material,Cautions against market timing and overtrading.
SRC_BOOK_003,book,Adaptive Asset Allocation / risk budgeting literature,Multiple authors,unknown,book/user notes needed,C,THEORY_007,needs_user_material,Use only as framework until source is pinned down.
SRC_FX_001,report,fxbaogao reports on dividend low-vol defense,Institution reports,2026-07-25,research_reports/fxbaogao_v5c_defense_profit_taking,B,none,search_completed_noisy,API credential loaded from local vault; broad queries completed but search output is noisy and requires manual/PDF filtering.
SRC_FX_002,report,fxbaogao narrow search for dividend/ETF/rebalancing,Institution reports,2026-07-25,research_reports/fxbaogao_v5c_defense_profit_taking_narrow,B,none,search_completed_noisy,"Narrow queries completed; useful source leads include ETF constraints/trend reports, ETF market whitepaper and electricity ETF value report."
SRC_FX_003,report,结合静态约束与动态约束的885001指数增强ETF组合,广发证券,2026-07-19,https://www.fxbaogao.com/view?id=5544500,B,none,source_lead_needs_pdf,"Potentially relevant to dynamic constraints / ETF overlay, but must be PDF-reviewed before evidence use."
SRC_FX_004,report,基于趋势与资金流的指数增强ETF组合,华西证券,2026-06-16,https://www.fxbaogao.com/view?id=5481127,B,none,source_lead_needs_pdf,"Potentially relevant to trend/fund-flow overlay, but not yet evidence."
