priority_rank,sector_id,display_name,sector_type,pm_lane,next_agent,loop_type,timebox_minutes,required_packet,required_inputs,allowed_next_action,forbidden_action,graduation_gate,stop_condition,screening_decision,data_gate,pit_universe_gate,business_purity_gate,dividend_gate,fcf_gate,low_vol_gate,external_state_burden,sample_size_risk,notes
30,telecom_operators,Telecom Operators,stable_cash_flow_small_sample,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;capex cycle review;operator purity evidence;small-sample sleeve policy,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_approves_specialist_or_small_sample_policy,stop if sample policy or specialist data is not approved,basket_observation_only,specialist_data_partial,likely_pass,simple_core3,likely_pass,needs_capex_cycle_review,passed,medium,high,Good fit but too few core names for broad IC standards.
40,auto_and_parts,Auto and Parts,manufacturing_cycle,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,needs_oem_parts_split,mixed,capex_and_inventory_sensitive,can_build_from_daily_prices,medium_high,medium,"Some cash-flow names exist, but sector is too cycle/competition heavy for first wave."
40,chemical_materials,Basic Chemicals,cyclical_mixed_business,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,needs_subsector_split,mixed,cycle_and_capex_sensitive,can_build_from_daily_prices,high,medium,Too heterogeneous for first-pass generic basket without subsector split.
40,insurance,Insurance,financial_specialist,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,multi-year PIT EV/NBV or P/EV;solvency disclosures;interest-rate state;equity-market state,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_approves_specialist_or_small_sample_policy,stop if sample policy or specialist data is not approved,basket_observation_only,specialist_data_partial,passed_core5,passed_core5,passed,not_applicable,can_build_from_daily_prices,high,high,Needs EV/NBV/P/EV and specialist state model; not generic FCF.
40,logistics_express,Logistics / Express Delivery,transport_competitive_cash_flow,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,needs_subsector_split,mixed,capex_and_price_war_sensitive,can_build_from_daily_prices,medium,medium,More competitive/capex intensive than toll-road style infrastructure.
40,machinery_equipment,Machinery / Equipment,manufacturing_cycle,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,needs_subsector_split,mixed,cycle_and_order_backlog_sensitive,can_build_from_daily_prices,medium_high,medium,Could be explored later with order-cycle variables.
40,retail_commerce,Retail / Commerce,consumer_mixed_quality,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,needs_format_split,mixed,working_capital_sensitive,can_build_from_daily_prices,medium,medium,Too mixed for first-wave generic cash-flow basket.
40,securities_brokerage,Securities / Brokerage,financial_market_beta,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,likely_pass,mixed,not_applicable,can_build_from_daily_prices,high,medium,More market-beta/capital-market cycle than stable dividend low-vol cash flow.
40,textile_apparel,Textile / Apparel,consumer_mixed_quality,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,coarse data availability note;reason to revisit;PM-approved priority upgrade,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_priority_upgrade_before_research_or_validation,stop if sample policy or specialist data is not approved,low_priority_watchlist,low_priority_watchlist,can_build,needs_brand_oem_split,mixed,working_capital_sensitive,can_build_from_daily_prices,medium,medium,"Possible individual names, but sector quality is uneven."
50,oil_gas_pipeline_integrated,Oil / Gas Pipeline and Integrated Energy,cycle_aware_cash_flow,observation_only,Project Manager Agent,small_sample_or_specialist_observation_policy,30,checkpoint_packet,PIT universe;real daily open/close prices;cash dividends with visible dates;small-sample or specialist sleeve policy,"Keep as observation sleeve, specialist sleeve, or paper-only tracker until PM approves a special sample policy.",Do not use broad cross-sectional IC acceptance standards when sample size or specialist data makes them invalid.,PM_approves_specialist_or_small_sample_policy,stop if sample policy or specialist data is not approved,platform_replication_pending_before_basket,platform_replication_pending_exports,passed_proxy_business_exposure_review_pending,needs_annual_report_exposure_review,passed_for_local_simulation,needs_commodity_and_capex_policy_review,passed,high,medium,Potential sleeve but cycle data and platform exports still gate inclusion.
