sector_id,display_name,pm_bucket,basket_eligibility,prevalidation_decision,next_agent,allowed_next_action,blocked_action,primary_theory,primary_factor_priority,data_gate,external_state_burden,sample_size_risk
bank,Bank,core_or_observation_refresh_no_tuning,eligible_or_existing_sleeve_refresh_only,passed_prevalidation_shadow_basket_refresh,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,sector_specific_value_and_balance_sheet_quality,sector_specific_value>dividend_sustainability>low_volatility,passed,medium,medium
utilities_electricity,Utilities / Electricity,core_or_observation_refresh_no_tuning,eligible_or_existing_sleeve_refresh_only,passed_prevalidation_shadow_basket_refresh,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,passed,medium,medium
highway_infrastructure,Highway Infrastructure,core_or_observation_refresh_no_tuning,eligible_or_existing_sleeve_refresh_only,passed_prevalidation_shadow_basket_refresh,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,passed,medium,medium
port_rail_infrastructure,Port / Rail Infrastructure,core_or_observation_refresh_no_tuning,eligible_or_existing_sleeve_refresh_only,passed_prevalidation_shadow_basket_refresh,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,passed_with_review_notes,medium_high,medium
gas_water_operators,Gas / Water Operators,core_or_observation_refresh_no_tuning,eligible_or_existing_sleeve_refresh_only,passed_prevalidation_shadow_basket_refresh,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,needs_manual_research,medium,medium
telecom_operators,Telecom Operators,research_repair_only,not_eligible_until_repair_passes,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,specialist_data_partial,medium,high
insurance,Insurance,core_or_observation_refresh_no_tuning,eligible_or_existing_sleeve_refresh_only,passed_prevalidation_shadow_basket_refresh,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,sector_specific_value_and_balance_sheet_quality,sector_specific_value>dividend_sustainability>low_volatility,specialist_data_partial,high,high
securities_brokerage,Securities / Brokerage,research_repair_only,not_eligible_until_repair_passes,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,sector_specific_value_and_balance_sheet_quality,sector_specific_value>dividend_sustainability>low_volatility,low_priority_watchlist,high,medium
oil_gas_pipeline_integrated,Oil / Gas Pipeline and Integrated Energy,research_repair_only,not_eligible_until_repair_passes,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,platform_replication_pending_exports,high,medium
coal,Coal,archived_or_rejected,not_eligible,archived_after_failed_initial_validation,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,blocked,high,medium
steel,Steel,blocked_by_cycle_data_gate,not_eligible,blocked_by_cycle_data_gate_before_initial_validation,Research Agent,repair commodity/output/inventory/spread/PIT exposure data only,do not model or backtest,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,blocked,high,medium
nonferrous_metals,Nonferrous Metals,blocked_by_cycle_data_gate,not_eligible,blocked_by_cycle_data_gate_before_initial_validation,Research Agent,repair commodity/output/inventory/spread/PIT exposure data only,do not model or backtest,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,blocked,high,medium
chemical_materials,Basic Chemicals,archived_or_rejected,not_eligible,archived_after_failed_initial_validation,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,low_priority_watchlist,high,medium
building_materials_cement,Building Materials / Cement,archived_or_rejected,not_eligible,archived_after_failed_initial_validation,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,needs_manual_research,high,medium
construction_engineering,Construction Engineering,blocked_by_data_gate,not_eligible,blocked_by_data_gate_before_initial_validation,Research Agent,"repair PIT, business purity, receivables or original-source data",do not model or backtest,cash_conversion_and_receivables_trap_detection,operating_cash_flow_yield>low_volatility>dividend_sustainability,blocked,medium_high,medium
environmental_project_operators,Environmental / Project Operators,blocked_by_data_gate,not_eligible,blocked_by_data_gate_before_initial_validation,Research Agent,"repair PIT, business purity, receivables or original-source data",do not model or backtest,cash_conversion_and_receivables_trap_detection,operating_cash_flow_yield>low_volatility>dividend_sustainability,blocked,medium,medium
real_estate,Real Estate,excluded_from_current_mandate,not_eligible,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,excluded_by_business_model,high,medium
consumer_staples_cashflow,Consumer Staples Cash-Flow Leaders,research_repair_only,not_eligible_until_repair_passes,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,cash_flow_quality_and_defensive_demand,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,needs_manual_research,medium,medium
food_beverage,Food / Beverage,research_repair_only,not_eligible_until_repair_passes,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,cash_flow_quality_and_defensive_demand,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,needs_manual_research,medium,medium
home_appliances,Home Appliances,research_repair_only,not_eligible_until_repair_passes,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,cash_flow_quality_and_defensive_demand,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,needs_manual_research,medium,medium
textile_apparel,Textile / Apparel,research_repair_only,not_eligible_until_repair_passes,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,cash_flow_quality_and_defensive_demand,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,low_priority_watchlist,medium,medium
pharma_medical_services,Pharma / Medical Services,blocked_by_specialist_data_gate,not_eligible,blocked_by_specialist_data_gate_before_initial_validation,Research Agent,"repair PIT R&D, procurement or policy-state fields only",do not run generic pharma OCF/low-vol formal validation,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,needs_manual_research,high,medium
agriculture_forestry_fishery,Agriculture / Forestry / Fishery,excluded_from_current_mandate,not_eligible,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,excluded_by_business_model,high,medium
logistics_express,Logistics / Express Delivery,research_repair_only,not_eligible_until_repair_passes,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,low_priority_watchlist,medium,medium
shipping,Shipping,blocked_by_cycle_data_gate,not_eligible,blocked_by_cycle_data_gate_before_initial_validation,Research Agent,repair commodity/output/inventory/spread/PIT exposure data only,do not model or backtest,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,blocked,high,medium
retail_commerce,Retail / Commerce,archived_or_rejected,not_eligible,archived_after_failed_initial_validation,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,cash_flow_quality_and_defensive_demand,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,low_priority_watchlist,medium,medium
media_entertainment,Media / Entertainment,excluded_from_current_mandate,not_eligible,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,excluded_by_business_model,medium,medium
computer_software,Computer / Software,excluded_from_current_mandate,not_eligible,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,excluded_by_business_model,medium,medium
electronics_semiconductor,Electronics / Semiconductor,excluded_from_current_mandate,not_eligible,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,excluded_by_business_model,high,medium
auto_and_parts,Auto and Parts,archived_or_rejected,not_eligible,archived_after_failed_initial_validation,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,low_priority_watchlist,medium_high,medium
machinery_equipment,Machinery / Equipment,archived_or_rejected,not_eligible,archived_after_failed_initial_validation,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,low_priority_watchlist,medium_high,medium
power_equipment_new_energy,Power Equipment / New Energy,excluded_from_current_mandate,not_eligible,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,excluded_by_business_model,high,medium
military_defense,Military / Defense,excluded_from_current_mandate,not_eligible,excluded_before_initial_validation,Project Manager Agent,archive unless PM opens a separate strategy family,do not run dividend low-vol OCF/FCF validation,outside_current_dividend_low_vol_cashflow_mandate,not_in_current_mandate,excluded_by_business_model,high,medium
