canonical_model_id,tier,classification_reason,canonical_or_alias,family,role,daily_series_status,benchmark_type,benchmark_status,validation_independence_status,alpha_beta_ir_computable,promotion_eligibility,primary_benchmark,primary_benchmark_statement,reporting_interpretation_limit,v5n_addendum_path
airport_transport_cashflow_operating_state_v58,tier_b1_evidence_only_no_comparable_daily_performance,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only,canonical_or_research_unit,sector_strategy_or_research,example_strategy,daily_nav_unavailable,not_available,benchmark_coverage_insufficient,daily_nav_unavailable,False,False,not_available,benchmark_data_unavailable,no_comparable_daily_performance_or_benchmark,v5n_model_performance_reporting\current\model_addenda\airport_transport_cashflow_operating_state_v58\model_performance_addendum.md
airport_transport_franchise_state_v58b,tier_b1_evidence_only_no_comparable_daily_performance,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only,canonical_or_research_unit,sector_strategy_or_research,example_strategy,daily_nav_unavailable,not_available,benchmark_coverage_insufficient,daily_nav_unavailable,False,False,not_available,benchmark_data_unavailable,no_comparable_daily_performance_or_benchmark,v5n_model_performance_reporting\current\model_addenda\airport_transport_franchise_state_v58b\model_performance_addendum.md
bank_high_dividend_sustainability_v3,tier_a2_comparable_proxy_benchmark_limited,eligible_daily_series_with_static_proxy_basket,canonical_or_research_unit,sector_strategy_or_research,example_strategy,available,static_proxy_basket,coverage_pass,validation_not_independent_or_overlapping,True,False,local_same_pool_or_embedded_benchmark,primary_benchmark_is_market_exposure_proxy,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion,v5n_model_performance_reporting\current\model_addenda\bank_high_dividend_sustainability_v3\model_performance_addendum.md
bank_value_15y,tier_a2_comparable_proxy_benchmark_limited,eligible_daily_series_with_static_proxy_basket,canonical_or_research_unit,sector_strategy_or_research,example_strategy,available,static_proxy_basket,coverage_pass,validation_not_independent_or_overlapping,True,False,local_same_pool_or_embedded_benchmark,primary_benchmark_is_market_exposure_proxy,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion,v5n_model_performance_reporting\current\model_addenda\bank_value_15y\model_performance_addendum.md
bank_value_quality_v2,tier_a2_comparable_proxy_benchmark_limited,eligible_daily_series_with_static_proxy_basket,canonical_or_research_unit,sector_strategy_or_research,example_strategy,available,static_proxy_basket,coverage_pass,validation_not_independent_or_overlapping,True,False,local_same_pool_or_embedded_benchmark,primary_benchmark_is_market_exposure_proxy,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion,v5n_model_performance_reporting\current\model_addenda\bank_value_quality_v2\model_performance_addendum.md
cement_cycle_aware_ocf_low_vol_v5a9,tier_b1_evidence_only_no_comparable_daily_performance,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only,canonical_or_research_unit,governance_or_research_artifact,example_strategy,daily_nav_unavailable,not_available,benchmark_coverage_insufficient,daily_nav_unavailable,False,False,not_available,benchmark_data_unavailable,no_comparable_daily_performance_or_benchmark,v5n_model_performance_reporting\current\model_addenda\cement_cycle_aware_ocf_low_vol_v5a9\model_performance_addendum.md
coal_cashflow_cycle_value_v52b,tier_a2_comparable_proxy_benchmark_limited,eligible_daily_series_with_static_proxy_basket,canonical_or_research_unit,sector_strategy_or_research,example_strategy,available,static_proxy_basket,coverage_pass,validation_not_independent_or_overlapping,True,False,local_same_pool_or_embedded_benchmark,primary_benchmark_is_market_exposure_proxy,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion,v5n_model_performance_reporting\current\model_addenda\coal_cashflow_cycle_value_v52b\model_performance_addendum.md
coal_cashflow_cycle_value_v52b_capex_policy,tier_a2_comparable_proxy_benchmark_limited,eligible_daily_series_with_static_proxy_basket,canonical_or_research_unit,sector_strategy_or_research,example_strategy,available,static_proxy_basket,coverage_pass,validation_not_independent_or_overlapping,True,False,local_same_pool_or_embedded_benchmark,primary_benchmark_is_market_exposure_proxy,proxy_benchmark_limited_interpretation;validation_not_independent;execution_contract_incomplete;reporting_only_not_promotion,v5n_model_performance_reporting\current\model_addenda\coal_cashflow_cycle_value_v52b_capex_policy\model_performance_addendum.md
coal_high_dividend_cycle_value_v52,tier_b1_evidence_only_no_comparable_daily_performance,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only,canonical_or_research_unit,sector_strategy_or_research,example_strategy,daily_nav_unavailable,not_available,benchmark_coverage_insufficient,daily_nav_unavailable,False,False,not_available,benchmark_data_unavailable,no_comparable_daily_performance_or_benchmark,v5n_model_performance_reporting\current\model_addenda\coal_high_dividend_cycle_value_v52\model_performance_addendum.md
consumer_staples_ocf_low_vol_v5a5,tier_b1_evidence_only_no_comparable_daily_performance,missing_daily_nav_or_eligible_benchmark_or_diagnostic_evidence_only,canonical_or_research_unit,governance_or_research_artifact,example_strategy,daily_nav_unavailable,not_available,benchmark_coverage_insufficient,daily_nav_unavailable,False,False,not_available,benchmark_data_unavailable,no_comparable_daily_performance_or_benchmark,v5n_model_performance_reporting\current\model_addenda\consumer_staples_ocf_low_vol_v5a5\model_performance_addendum.md
