source_id,source_type,ticker_or_index,title,owner,as_of,url,role_in_v5a2,evidence_status,notes
etf_cowz_001,official_etf,COWZ,Pacer US Cash Cows 100 ETF,Pacer ETFs,2026-07-search,https://www.paceretfs.com/products/COWZ,Free-cash-flow ETF construction and holdings prior,reviewed_public_source,"Official source describes FCF yield/FCF weighting and financials exclusion; holdings require refresh before quantitative use."
etf_cowz_holdings_001,holdings_snapshot,COWZ,COWZ holdings snapshot,Schwab / Pacer via holdings page,2026-07-20,https://www.schwab.wallst.com/schwab/Prospect/research/etfs/schwabETF/index.asp?symbol=COWZ&type=holdings,Current sector exposure reference,snapshot_only,"Current holdings are subject to change; use only as copy-homework prior."
etf_vflo_001,official_etf,VFLO,VictoryShares Free Cash Flow ETF,Victory Capital,2026-07-21,https://advisor.vcm.com/products/victoryshares-etfs/victoryshares-etfs-list/victoryshares-free-cash-flow-etf,FCF + quality/value/growth framing,reviewed_public_source,"Official page supports FCF ETF concept; detailed sector data should be refreshed from issuer holdings file."
etf_sphd_001,official_etf,SPHD,Invesco S&P 500 High Dividend Low Volatility ETF,Invesco,2026-07-21,https://www.invesco.com/us/en/financial-products/etfs/invesco-sp-500-high-dividend-low-volatility-etf.html,Dividend + low-volatility construction prior,reviewed_public_source,"Official fact sheet/page supports high-dividend and low-vol screen framing."
etf_schd_001,official_etf,SCHD,Schwab U.S. Dividend Equity ETF,Schwab Asset Management,2026-07-20,https://www.schwabassetmanagement.com/products/schd,Dividend quality ETF prior,reviewed_public_source,"Official page and holdings document used for dividend-quality construction prior."
etf_schd_holdings_001,holdings_snapshot,SCHD,SCHD all holdings sector snapshot,Schwab,2026-07-20,https://www.schwab.wallst.com/schwab/Prospect/research/etfs/schwabETF/index.asp?symbol=SCHD&type=holdings,Current sector exposure reference,snapshot_only,"Snapshot shows sector clustering; holdings are subject to change."
index_csi_div_lowvol_001,official_index,H30269,CSI Dividend Low Volatility Index methodology,CSI,2020-12,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/H30269_Index_Methodology_cn.pdf,A-share dividend low-vol methodology,reviewed_public_source,"50 stocks, continuous dividends, dividend growth / payout discipline, high dividend and low volatility."
index_csi_div_lowvol100_001,official_index,930955,CSI Dividend Low Volatility 100 Index methodology,CSI,2023-12,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208180204-930955_Index_Methodology_cn.pdf,A-share dividend low-vol 100 methodology,reviewed_public_source,"100 stocks, dividend-yield / volatility weighting."
index_cni_fcf_001,official_index,980092,CNI Free Cash Flow Index methodology,CNI,2024,https://www.cnindex.com.cn/docs/gz_980092.pdf,A-share free-cash-flow methodology,reviewed_public_source,"Excludes financial and real-estate sectors; uses FCF and quality/stability gates."
index_csi_fcf_001,official_index,932365,CSI All Share Free Cash Flow Index methodology,CSI,2024-12,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/932365_Index_Methodology_cn.pdf,A-share FCF methodology,reviewed_public_source,"Selects high FCF yield securities after positive FCF and positive EV requirements."
public_article_xueqiu_001,public_article,dividend_low_vol_comparison,Xueqiu red-dividend/low-vol comparisons,Xueqiu authors,2026-search,https://xueqiu.com/,Market narrative and investor attention,manual_review_only,"Can help identify investor narratives; not formal evidence."

