priority,stage,owner,action,input,output,gate,status
1,freeze_check,Project Manager Agent,Confirm active sleeves are unchanged,config\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f.json,sleeve_registry.csv,no_new_sleeves,completed_by_runner
2,signal_refresh,Engineering Agent,Rebuild frozen basket signals,config\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f.json,validation_formal_v57f_etf_constructor\basket_rebalance_signals.csv,quarterly_signal_file_exists,completed_existing_output
3,local_daily_refresh,Engineering Agent,Run local JoinQuant-like daily simulation,validation_formal_v57f_etf_constructor\basket_rebalance_signals.csv,local_daily_backtests_v57f_etf\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\summary.json,rebalance_order_health_passed,completed_existing_output
4,formal_validation_refresh,Quant Validation Agent,"Refresh rolling, baseline, IC/RankIC and robustness",local_daily_backtests_v57f_etf\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\daily_returns.csv,validation_formal_v57f_etf\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\basket_formal_validation_summary.json,formal_validation_completed,completed_existing_output
5,failure_attribution,Quant Validation Agent,Refresh weak-year and detractor attribution,local_daily_backtests_v57f_etf\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f,validation_attribution_v57f_etf,diagnosis_not_tuning,completed_existing_output
6,ablation_refresh,Quant Validation Agent,Refresh basket ablation cases,config\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f.json,validation_ablation_v57f_etf\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\basket_ablation_summary.json,no_blocked_cases,completed_existing_output
7,overfit_audit,Engineering Agent,Run anti-overfit and leakage audit,local_daily_backtests_v57f_etf\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\daily_returns.csv,validation_overfit_v57f_etf\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\overfit_audit_summary.json,blocker_count_zero,completed_existing_output
8,pm_gate,Project Manager Agent,"Combine formal, daily, ablation and overfit evidence",validation_formal_v57f_etf\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\basket_formal_validation_summary.json,pm_gate_packets_v57f\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\basket_pm_gate_summary.json,blocker_count_zero,completed_existing_output
9,forward_paper_gate,Project Manager Agent,Prepare clean paper window 2026-10-08,pm_gate_packets_v57f\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\basket_pm_gate_summary.json,basket_forward_paper_gates_v57f\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\forward_paper_gate_summary.json,pending_clean_future_rebalance,completed_existing_output
10,dashboard,Project Manager Agent,Build governance dashboard and action route,basket_forward_paper_gates_v57f\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\forward_paper_gate_summary.json,basket_governance_dashboards_v57f\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\basket_governance_dashboard_summary.json,blocked_actions_visible,completed_existing_output
11,action_route,Project Manager Agent,Route next owner and stop/continue state,basket_governance_dashboards_v57f\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\basket_governance_dashboard_summary.json,basket_pm_action_routes_v57f\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f\basket_pm_action_route_summary.json,no_tuning_no_platform_claim,completed_existing_output
